date,result_num,freshwater,forecast,uncertainty,nearterm,model_approach,notes,hydrological
3/1/2022 8:26,69,yes; surface water,none of the above,NA,NA,NA,NA,yes
3/1/2022 8:28,70,yes; surface water,forecast,no,yes,numerical ecosystem simulation (e.g. GLM-AED),NA,no
3/1/2022 8:31,71,yes; surface water,hindcast,yes,yes,NA,NA,yes
3/1/2022 8:32,72,yes; surface water,hindcast,yes,yes,NA,NA,yes
3/1/2022 8:35,73,yes; surface water,hindcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",NA,yes
3/1/2022 8:36,74,yes; surface water,hindcast,yes,yes,NA,NA,yes
3/1/2022 8:39,75,yes; surface water,hindcast,no,yes,other,uses both multiple regression and a process-based model,yes
3/1/2022 8:39,76,yes; surface water,hindcast,yes,yes,NA,NA,no
3/1/2022 8:40,77,yes; surface water,hindcast,yes,yes,NA,NA,yes
3/1/2022 8:44,78,yes; surface water,hindcast,no,yes,process-based but not ecosystem simulation (e.g. age-structured population model),NA,yes
3/1/2022 8:46,79,yes; surface water,none of the above,NA,NA,NA,NA,yes
3/1/2022 9:03,81,yes; surface water,forecast,yes,no,NA,NA,no
3/1/2022 9:07,82,yes; surface water,none of the above,NA,NA,NA,NA,yes
3/1/2022 9:11,83,yes; surface water,hindcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",NA,yes
3/1/2022 9:16,84,yes; surface water,forecast,no,yes,other,both process-based and machine learning models used,no
3/1/2022 9:18,85,yes; surface water,forecast,no,no,process-based but not ecosystem simulation (e.g. age-structured population model),NA,no
3/1/2022 9:19,86,yes; surface water,none of the above,NA,NA,NA,NA,no
3/1/2022 9:20,87,yes; surface water,hindcast,yes,yes,NA,NA,yes
3/1/2022 9:23,88,yes; surface water,forecast,yes,yes,process-based but not ecosystem simulation (e.g. age-structured population model),good example for probabilistic presentation of spatial forecasts being uncommon; do scenario-based analysis but don't propagate uncertainty,no
3/1/2022 9:25,89,yes; surface water,forecast,yes,no,NA,NA,yes
3/1/2022 9:28,90,yes; surface water,forecast,no,no,process-based but not ecosystem simulation (e.g. age-structured population model),NA,yes
3/1/2022 9:30,91,yes; surface water,hindcast,can't tell,yes,NA,NA,yes
3/1/2022 9:34,92,yes; surface water,forecast,yes,yes,NA,NA,yes
3/1/2022 9:35,93,yes; surface water,none of the above,NA,NA,NA,NA,yes
3/1/2022 9:37,94,yes; surface water,hindcast,yes,yes,NA,NA,yes
3/1/2022 9:37,95,yes; surface water,none of the above,NA,NA,NA,NA,no
3/1/2022 9:40,96,yes; surface water,forecast,no,no,empirical model but not a time series model (e.g. multiple regression),NA,no
3/1/2022 9:46,97,yes; surface water,hindcast,yes,yes,NA,NA,yes
3/1/2022 9:48,98,yes; surface water,none of the above,NA,NA,NA,NA,yes
3/1/2022 9:49,99,yes; surface water,hindcast,yes,yes,NA,NA,yes
3/1/2022 9:50,100,yes; surface water,hindcast,yes,yes,NA,NA,yes
6/6/2022 13:03,211,yes; surface water,hindcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",NA,no
3/1/2022 8:35,219,yes; surface water,hindcast,yes,yes,numerical ecosystem simulation (e.g. GLM-AED),NA,yes
3/1/2022 8:43,220,yes; surface water,none of the above,no,NA,NA,NA,no
3/1/2022 8:40,221,yes; surface water,forecast,no,no,empirical model but not a time series model (e.g. multiple regression),NA,yes
3/1/2022 10:33,222,yes; surface water,hindcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",NA,no
3/1/2022 10:35,224,yes; surface water,hindcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",NA,yes
3/1/2022 10:38,225,yes; surface water,hindcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",NA,yes
6/6/2022 18:02,237,yes; surface water,forecast,no,yes,"time series model (e.g. ARIMA); machine learning, either process-guided or not process-guided (e.g. ANN)",NA,yes
6/7/2022 10:30,304,yes; surface water,forecast,no,yes,empirical model but not a time series model (e.g. multiple regression),NA,no
3/1/2022 7:47,384,yes; surface water,forecast,no,no,process-based but not ecosystem simulation (e.g. age-structured population model),This a proposed forecast system.,yes
3/1/2022 7:53,385,yes; surface water,hindcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",NA,yes
3/1/2022 7:56,386,yes; surface water,none of the above,NA,no,time series model (e.g. ARIMA),NA,yes
3/1/2022 8:19,390,yes; surface water,hindcast,no,yes,process-based but not ecosystem simulation (e.g. age-structured population model),NA,yes
3/1/2022 8:26,393,yes; surface water,hindcast,yes,yes,other,Used a model for reservoir demand,yes
3/1/2022 9:32,394,yes; surface water,hindcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",NA,yes
3/1/2022 9:35,395,yes; groundwater,none of the above,NA,no,"machine learning, either process-guided or not process-guided (e.g. ANN)",NA,no
3/1/2022 9:36,397,yes; surface water,NA,NA,NA,NA,Systematic review paper? For reference maybe,no
3/1/2022 9:38,398,yes; surface water,NA,NA,NA,NA,Overview of river flood forecasting in Canada - interactions between forecasting centers,yes
3/1/2022 9:41,399,yes; surface water,none of the above,NA,no,"machine learning, either process-guided or not process-guided (e.g. ANN)",NA,yes
3/1/2022 9:43,400,yes; surface water,forecast,no,no,process-based but not ecosystem simulation (e.g. age-structured population model),NA,yes
3/1/2022 9:46,401,yes; surface water,forecast,no,yes,process-based but not ecosystem simulation (e.g. age-structured population model),NA,yes
3/1/2022 9:47,402,yes; surface water,hindcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",NA,yes
3/1/2022 9:50,403,yes; surface water,hindcast,yes,yes,process-based but not ecosystem simulation (e.g. age-structured population model),NA,yes
3/1/2022 9:54,404,yes; surface water,hindcast,no,yes,process-based but not ecosystem simulation (e.g. age-structured population model),NA,yes
3/1/2022 9:57,405,yes; surface water,hindcast,no,yes,empirical model but not a time series model (e.g. multiple regression),NA,no
6/7/2022 6:55,518,yes; surface water,forecast,no,NA,process-based but not ecosystem simulation (e.g. age-structured population model),NA,yes
2/21/2022 11:08,549,yes; surface water,hindcast,no,yes,process-based but not ecosystem simulation (e.g. age-structured population model),NA,yes
2/24/2022 12:53,550,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",NA,yes
2/24/2022 12:57,551,yes; surface water,forecast,yes,yes,NA,NA,yes
2/24/2022 16:45,553,yes; surface water,hindcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",NA,yes
2/24/2022 16:50,554,yes; surface water,hindcast,can't tell,yes,NA,NA,yes
2/24/2022 16:53,555,yes; surface water,hindcast,no,yes,"process-based but not ecosystem simulation (e.g. age-structured population model); machine learning, either process-guided or not process-guided (e.g. ANN)",NA,yes
2/24/2022 16:55,556,yes; surface water,hindcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",NA,yes
2/24/2022 16:57,557,yes; surface water,hindcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",NA,yes
2/24/2022 17:02,558,yes; surface water,hindcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",NA,yes
3/1/2022 10:21,559,yes; surface water,hindcast,no,yes,numerical ecosystem simulation (e.g. GLM-AED),NA,yes
3/1/2022 10:38,562,yes; surface water,none of the above,no,NA,empirical model but not a time series model (e.g. multiple regression),NA,no
