"hydro_plus_model_approach","Result Number","Article Title","Abstract","DOI...4","DOI...5","Author Full Names","Source Title","Author Keywords","Keywords Plus","Affiliations","Publisher","Publisher City","Publisher Address","ISSN","eISSN","ISBN","Journal Abbreviation","Journal ISO Abbreviation","Publication Date","Publication Year","Volume","Issue","Start Page","End Page","Article Number","...26"
FALSE,29,"Forecast Informed Reservoir Operations Using Ensemble Streamflow Predictions for a Multipurpose Reservoir in Northern California","Ensemble Forecast Operations (EFO) is a risk-based approach of reservoir flood control operations that incorporates ensemble streamflow predictions (ESPs) made by the California-Nevada River Forecast Center. Reservoir operations for each member of an ESP are individually modeled to forecast system conditions and calculate risk of reaching critical operational thresholds. Reservoir release decisions are simulated to manage forecasted risk with respect to established risk tolerance levels. EFO was developed for Lake Mendocino, a 111,000 acre-foot reservoir near Ukiah, California, to evaluate its viability to improve reservoir storage reliability without increasing downstream flood risk. Lake Mendocino is a dual use reservoir, owned and operated for flood control by the United States Army Corps of Engineers and operated for water supply by Sonoma Water. EFO was simulated using a 26-year (1985-2010) ESP hindcast generated by the California-Nevada River Forecast Center, which provides 61-member ensembles of 15-day flow forecasts. EFO simulations yield generally higher storage levels during the flood management season while maintaining needed flood storage capacity by strategically prereleasing water in advance of forecasted storms. Model results demonstrate a 33% increase in median storage at the end of the flood management season (10 May) over existing operations without marked changes in flood frequency for locations downstream from Lake Mendocino. EFO may be a viable alternative for managing flood control operations at Lake Mendocino that provides multiple benefits (water supply, flood mitigation, and ecosystems) and provides a management framework that could be adapted and applied to other flood control reservoirs.","https://doi.org/10.1029/2019WR026604","10.1029/2019WR026604","Delaney, Chris J.; Hartman, Robert K.; Mendoza, John; Dettinger, Michael; Delle Monache, Luca; Jasperse, Jay; Ralph, F. Martin; Talbot, Cary; Brown, James; Reynolds, David; Evett, Simone","WATER RESOURCES RESEARCH","reservoir operations; forecast informed; ensemble forecast; ensemble streamflow prediction; risk-based operations; Lake Mendocino","ATMOSPHERIC RIVERS; CLIMATE-CHANGE; PRECIPITATION; VERIFICATION; TEMPERATURE; FLOODS; SYSTEM; BASIN",NA,"AMER GEOPHYSICAL UNION","WASHINGTON","2000 FLORIDA AVE NW, WASHINGTON, DC 20009 USA","0043-1397","1944-7973",NA,"WATER RESOUR RES","Water Resour. Res.","SEP",2020,"56","9",NA,NA,"e2019WR026604",NA
FALSE,30,"Castles built on sand or predictive limnology in action? Part B: Designing the next monitoring-modelling-assessment cycle of adaptive management in Lake Erie","In Lake Erie, a wide variety of statistical and process-based models have significantly advanced our understanding of the major causal linkages/ecosystem processes underlying the local water quality problems. In this study, our aim is to identify knowledge gaps, monitoring assessment objectives, and management recommendations that should be critically reviewed through the iterative monitoring-modelling-assessment cycles of adaptive management. In the watershed, the presence of multiple SWAT applications provides assurance that a wide array of physical, chemical, and biological processes with distinct characterizations are used to reproduce the patterns of flow and nutrient export in agricultural lands. While there are models with more advanced mechanistic representation of certain facets of the hydrological cycle (surface runoff, groundwater and sediment erosion) or better equipped to depict urban settings, we believe that greater insights will be gained by revisiting several influential assumptions (tile drainage, fertilizer/manure application rates, land-use/landcover data) and recalibrating the existing SWAT models to capture both baseline and event-flow conditions and daily nutrient concentration (not loading) variability in multiple locations rather than a single downstream site. It is also critical to redesign land-use management scenarios by accommodating recent conceptual and technical advancements of their life-cycle effectiveness, the variability in their starting operational efficiency, and differential response to storm events or seasonality, as well as the role of legacy phosphorus. In the receiving waterbody, the development of data-driven models to establish causal linkages between the trophic status of Lake Erie and external phosphorus loading represents a pragmatic means to draw forecasts regarding the phyto-plankton community response to different management actions. Two critical next steps to further augment the empirical modelling work is the iterative updating as more data are acquired through monitoring and the introduction of additional explanatory variables that are likely associated with the occurrence of cyanobacteria-dominated blooms. The majority of the process-based models are not constrained by the available data, and therefore their primary value is their use as heuristic tools to advance our understanding of Lake Erie. The validation of their predictive power should become one of the overarching objectives of the iterative monitoring-modelling-assessment cycles. With respect to the projected responses of the system to nutrient loading reduction, we express our skepticism with the optimistic predictions of the extent and duration of hypoxia, given our limited knowledge of the sediment diagenesis processes in the central basin along with the lack of data related to the vertical profiles of organic matter and phosphorus fractionation or sedimentation/burial rates. Our study also questions the adequacy of the coarse spatiotemporal (seasonal/annual, basin- or lake-wide) scales characterizing the philosophy of both water quality management objectives and modelling enterprise in Lake Erie, as this strategy seems somewhat disconnected from the ecosystem services targeted. We conclude by emphasizing that the valuation of ecosystem services should be integrated into the decision-making process, as we track the evolution of the system over time.","https://doi.org/10.1016/j.ecoinf.2019.05.015","10.1016/j.ecoinf.2019.05.015","Arhonditsis, George B.; Neumann, Alex; Shimoda, Yuko; Kim, Dong-Kyun; Dong, Feifei; Onandia, Gabriela; Yang, Cindy; Javed, Aisha; Brady, Meghan; Visha, Ariola; Ni, Felicity; Cheng, Vincent","ECOLOGICAL INFORMATICS","Lake Erie; Best management practices; Uncertainty analysis; Adaptive management implementation; Integrated modelling framework","INTEGRATIVE METHODOLOGICAL FRAMEWORK; ENVIRONMENTAL CRITERIA EVALUATION; LAURENTIAN GREAT-LAKES; HARMFUL ALGAL BLOOMS; WATER-QUALITY; ECOSYSTEM SERVICES; PHOSPHORUS LOADS; CURRENT STATE; HAMILTON HARBOR; NUTRIENT INPUTS",NA,"ELSEVIER","AMSTERDAM","RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS","1574-9541","1878-0512",NA,"ECOL INFORM","Ecol. Inform.","SEP",2019,"53",NA,NA,NA,"100969",NA
TRUE,32,"Fishing in greener waters: Understanding the impact of harmful algal blooms on Lake Erie anglers and the potential for adoption of a forecast model","Harmful algal blooms (HABs) pose public health risks worldwide, because of the toxins that they can produce. Researchers have explored the impact of HABs on local economies, but know relatively little about the decision making that informs these behaviors that lead to financial losses. Understanding the factors that inform this decision-making is critical to developing mitigative solutions. This study seeks to understand how HABs in Western Lake Erie affect angler decision-making, before evaluating a possible decision-support tool a harmful algal bloom forecast known as the Experimental Lake Erie HAB Tracker. The HAB Tracker provides a nowcast and five-day forecast of the spatial distribution and transport of Microcystis, the predominant species of harmful algae in Western Lake Erie. Data collected using focus groups and surveys were coded to identify key themes that influence angler decision-making. The theory of the diffusion of innovations provides an analytical framework to evaluate the potential for widespread adoption of the HAB forecast among Lake Erie anglers. Analysis of emerging themes revealed that Lake Erie anglers face three key decision-points when fishing in HABs: whether to fish, where to fish, and whether to eat the fish. Five primary variables factored into angler decisions on where and whether to fish including 1) perceptions of HAB aesthetics, 2) perceptions of the impact of HABs on angler health, 3) perceptions of the impact of HABs on fish, 4) communication methods, 5) perceptions of HABs by customers of charter captains. Most participants in this study sought to avoid fishing in HABs primarily for aesthetic reasons. Recreational anglers are more likely than charter captains to adopt the HAS Tracker as a decision-support tool, because it is compatible with their information needs and provides a relative advantage over existing sources of information. Charter captains are less likely to adopt the HAB Tracker, because they rely on their existing knowledge and social network for HAB information. If researchers can reduce the complexity of forecast information while increasing its accessibility and reliability, then all anglers will be more likely to adopt a HAS forecast as a decision-support tool while fishing in Lake Erie during bloom season.","https://doi.org/10.1016/j.jenvman.2018.08.074","10.1016/j.jenvman.2018.08.074","Gill, Devin; Rowe, Mark; Joshi, Sonia Joseph","JOURNAL OF ENVIRONMENTAL MANAGEMENT","Harmful algal bloom; Lake Erie; Fishing; Stakeholder engagement; HAB forecast","RISK PERCEPTION; CYANOBACTERIA; CONSUMPTION; FISHERMEN; LESSONS",NA,"ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","LONDON","24-28 OVAL RD, LONDON NW1 7DX, ENGLAND","0301-4797","1095-8630",NA,"J ENVIRON MANAGE","J. Environ. Manage.","DEC 1",2018,"227",NA,"248","255",NA,NA
TRUE,33,"Projected compositional shifts and loss of ecosystem services in freshwater fish communities under climate change scenarios","What are the projected impacts of climate change on community composition and consequentially on the distribution of functional traits? Answers to these questions are somewhat unclear but critical for designing ecological management strategies. Here we forecast potential impacts of climate change on freshwater lake fish communities of Ontario, Canada, by contrasting species composition, species richness, functional diversity and functional composition for present versus projected communities under best-case and business-as-usual climate change scenarios. Results indicate that the composition of projected communities differs from present, and includes a shift from cold- and cool-water species to warm-water species. Species richness in projected communities is estimated to increase by 60-81%, but functional diversity is estimated to decline. These projected communities are estimated to have on average 22% shorter mean body length, 38% lighter body weight and 36% less fecundity than present. Also, the present configuration of sport and commercially important fishes are projected to decline in their distribution, potentially impacting ecosystem services associated with commercial and recreational fisheries. Together, climate change may initiate a compositional shift that may result in an important shift in community functional structure, which is likely to affect important aquatic ecosystem services.","https://doi.org/10.1007/s10750-017-3208-1","10.1007/s10750-017-3208-1","Biswas, Shekhar R.; Vogt, Richard J.; Sharma, Sapna","HYDROBIOLOGIA","Compositional shift; Ecosystem services; Species distribution models; Trait analysis","FUNCTIONAL DIVERSITY; CHANGE IMPACTS; SPECIES DISTRIBUTION; DISTRIBUTION MODELS; POTENTIAL IMPACTS; BIODIVERSITY LOSS; THERMAL HABITAT; SMALLMOUTH BASS; ASSEMBLAGES; POPULATIONS",NA,"SPRINGER","DORDRECHT","VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS","0018-8158","1573-5117",NA,"HYDROBIOLOGIA","Hydrobiologia","SEP",2017,"799","1","135","149",NA,NA
FALSE,34,"Efficient River Management using Stochastic MPC and Ensemble Forecast of Uncertain In-flows","Efficient river management is essential in improving water resource utilisation. However, river flows and water-levels are affected by unregulated in- and out-flows. Therefore, it is important to consider the forecasts of these unregulated flows and the uncertainties in the forecasts. The paper describes control and modelling tools from the literature that suit the river management problem. Specifically, a scenario-based Stochastic Model Predictive Control (MPC) strategy, that makes use of ensemble forecast of unregulated flows, is proposed, where the ensemble forecast contains multiple flow scenarios to characterise future flows and their uncertainties, and are obtained from catchment hydrological models. (C) 2018, IFAC (International Federation of Automatic Control) Hosting by Elsevier Ltd. All rights reserved.","https://doi.org/10.1016/j.ifacol.2018.06.196","10.1016/j.ifacol.2018.06.196","Nasir, Hasan Arshad; Zhao, Tony; Care, Algo; Wang, Quan J.; Weyer, Erik","IFAC PAPERSONLINE","River Management; Stochastic Model Predictive Control; Chance-Constrained Optimisation Problem; Scenario Approach; Ensemble Forecast; Hydrological Modelling","MODEL-PREDICTIVE CONTROL; RANDOMIZED SOLUTIONS; CONVEX-PROGRAMS; OPTIMIZATION; IDENTIFICATION; FEASIBILITY",NA,"ELSEVIER SCIENCE BV","AMSTERDAM","PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS","2405-8963",NA,NA,"IFAC PAPERSONLINE","IFAC PAPERSONLINE",NA,2018,"51","5","37","42",NA,NA
TRUE,35,"Improving forecasting accuracy of river flow using gene expression programming based on wavelet decomposition and de-noising","Due to the effects of anthropogenic activities and natural climate change, streamflows of rivers have gradually decreased. In order to maintain reliable water supplies, reservoir operation and water resource management, accurate streamflow forecasts are very important. Based on monthly flow data from five hydrological stations in the middle and lower parts of the Hanjiang River Basin, between 1989 and 2009, we consider an efficient approach of adopting the gene expression programming model based on wavelet decomposition and de-noising (WDDGEP) to forecast river flow. Original flow time series data are initially decomposed into one sub-signal approximation and seven sub-signal details using the dmey wavelet. A wavelet threshold de-noising method is also applied in this study. Data that have been de-noised after decomposition are then adopted as inputs for WDDGEP models. Finally, the forecasted sub-signal results are summed to formulate an ensemble forecast for the original monthly flow series. A comparison of the prediction accuracy between the two models is based on three performance evaluation measures. Results show that the new WDDGEP models can effectively enhance accuracy in forecasting streamflow, and the proposed wavelet-based de-noising of the observed non-stationary time series is an effective measure to improve simulation accuracy.","https://doi.org/10.2166/nh.2017.115","10.2166/nh.2017.115","Lu, Xiaorong; Wang, Xuelei; Zhang, Liang; Zhang, Ting; Yang, Chao; Song, XinXin; Yang, Qing","HYDROLOGY RESEARCH","flow forecasting; gene expression programming; wavelet transformation; WDDGEP models","TIME-SERIES; PERFORMANCE; RUNOFF; TRANSFORM; RAINFALL; MODEL; RESPONSES; SUPPORT; GEP",NA,"IWA PUBLISHING","LONDON","ALLIANCE HOUSE, 12 CAXTON ST, LONDON SW1H0QS, ENGLAND","1998-9563","2224-7955",NA,"HYDROL RES","Hydrol. Res.","JUN",2018,"49","3","711","723",NA,NA
TRUE,36,"Development and evaluation of a real-time forecasting framework for daily water quality forecasts for Lake Chaohu to Lead time of six days","The socioeconomic benefits associated with informative water quality forecasts for large lakes are becoming increasingly evident. However, it remains an enormous challenge to produce forecasts of water quality variables that are accurate enough to meet public demand. In this study, we developed and evaluated a new forecast framework for real-time forecasting of daily dissolved oxygen (DO), ammonium nitrogen (NH), total phosphorus (TP) and total nitrogen (TN) concentrations at lead times from one to six days for Lake Chaohu, the fifth largest freshwater lake in China. The forecast framework is based on a 3-D hydrodynamic ecological model referred to as EcoLake. We used hydrological, meteorological and water quality data from multiple sources to generate initial conditions and forcing functions. Solar radiation and inflows from tributaries which are not readily available were calculated using forecasted cloud cover and rainfall. Forecast skill was evaluated based on 122 forecasts produced on different days in 2017 and for each of the 12 sampling sites. Results indicate that the skill of the forecast framework varies considerably across water quality variables, sampling sites, and lead times. Generally, the forecast framework is more skillful than the persistence forecasts, which use the most recent observations as forecasts. The TN forecasts tend to be the most skillful with a mean RMSE skill score of 28.5% averaged across the six lead times. The DO forecasts tend to have the lowest skill with an average value of 10.9%. Model sensitivity experiments further revealed that errors in the raw air temperature and wind speed forecasts have a noticeable impact on the overall skill of DO and NH forecasts. The forecast framework proposed here could be a useful operational forecasting tool to enhance the effectiveness of the drinking water supply and public health protection based on the water quality management of Lake Chaohu. (C) 2019 Elsevier B.V. All rights reserved.","https://doi.org/10.1016/j.scitotenv.2019.06.067","10.1016/j.scitotenv.2019.06.067","Peng, Zhaoliang; Hu, Weiping; Liu, Gang; Zhang, Hui; Gao, Rui; Wei, Wei","SCIENCE OF THE TOTAL ENVIRONMENT","Real-time; Water quality; Forecasting framework; Lake Chaohu; Lead time","POTAMOGETON-MALAIANUS-MIQ.; ECOLOGICAL MODEL; PREDICTION; TAIHU; EUTROPHICATION; SYSTEM",NA,"ELSEVIER","AMSTERDAM","RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS","0048-9697","1879-1026",NA,"SCI TOTAL ENVIRON","Sci. Total Environ.","OCT 15",2019,"687",NA,"218","231",NA,NA
FALSE,37,"Ensemble forecasting of Corbicula fluminea worldwide distribution: Projections of the impact of climate change","Global biodiversity is at risk owing to climate change, and freshwater ecosystems are expected to suffer the most. In recent years niche-based models (NBMs) have been used to predict species distribution and are an important tool for conservation and management of aquatic ecosystems. In this work, the current and future climatic suitability areas of the invasive species Corbicula fluminea, which has known adverse ecological and economic impacts, were investigated. The species distribution modelling was based on nine algorithms in BIOMOD2, summarized in an ensemble forecasting approach. To model the species distribution, eight climatic parameters related to temperature and precipitation variables were considered. Three time frames (current, 2050 and 2070) were modelled using four increasing CO2 emission scenarios. The performance of individual models was excellent according to the area under the receiver operating characteristic curve (AUC) and good to excellent according to true skill statistics (TSS). Annual mean temperature, minimum temperature of the coldest month and mean temperature of the coldest quarter were the most important variables predicting C. fluminea occurrence. Of the total continental area, 6.6% was predicted to be suitable for C. fluminea in current conditions. In the future, suitable area will increase from the current value of 6.6% to values from 9.4% to 12.6%, according to the 2050 projections and up to 12.7% in 2070 in high emission scenarios. Overall, the results indicate that climate change will favour the expansion of C. fluminea into new river basins, especially at higher latitudes, and that future climatic scenarios may double the suitable area for Corbicula fluminea.","https://doi.org/10.1002/aqc.2767","10.1002/aqc.2767","Gama, Mafalda; Crespo, Daniel; Dolbeth, Marina; Anastacio, Pedro Manuel","AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS","alien species; biodiversity; climate change; invertebrates; modelling; stream","FRESH-WATER CLAM; SPECIES DISTRIBUTION; INVASIVE BIVALVE; BIOLOGICAL INVASIONS; DREISSENA-POLYMORPHA; DISTRIBUTION MODELS; INLAND WATERS; DIE-OFFS; MULLER; RIVER",NA,"WILEY","HOBOKEN","111 RIVER ST, HOBOKEN 07030-5774, NJ USA","1052-7613","1099-0755",NA,"AQUAT CONSERV","Aquat. Conserv.-Mar. Freshw. Ecosyst.","JUN",2017,"27","3","675","684",NA,NA
TRUE,38,"Predicting groundwater level fluctuations under climate change scenarios for Tasuj plain, Iran","Coastal aquifers world-wide are being confronted with several major challenges, such as overextraction of groundwater, climate change impacts, contamination by wastewater, and saltwater intrusion into water resources. Climate change induced alteration of the hydrological cycle is one of the main threats to future accessibility of water resources. Effective prediction of possible impacts of climate change on groundwater reserves, a crucial water resource, could be of great importance for sustainable water management. In a comparative study, artificial neural network (ANN), least square support vector machine (LSSVM), and nonlinear autoregressive network with exogenous inputs (NARX) models was applied to evaluate possible impacts of three representative concentration pathways (RCP) climate change scenarios (RCP2.6, RCP4.5, RCP8.5) on groundwater levels in Tasuj Plain, Iran. Four general circulation models (GCM) was used to predict temperature and precipitation values for the future period 2022-2050 and found that future temperature increased, while the amount of precipitation decreased. To improve the accuracy of three models in groundwater level prediction, db4 wavelet transform was applied. The results indicated that the Wavelet-NARX approach gave the best accuracy in forecasting groundwater level in the study area. In all cases, prediction indicated that groundwater level in all representative wells would decline in future.","https://doi.org/10.1007/s12517-021-06508-6","10.1007/s12517-021-06508-6","Ghazi, Babak; Jeihouni, Esmaeil; Kalantari, Zahra","ARABIAN JOURNAL OF GEOSCIENCES","Climate change; Groundwater level; Artificial intelligence techniques; Tasuj plain","SUPPORT VECTOR MACHINE; NEURAL-NETWORK MODELS; POTENTIAL IMPACTS; SHABESTAR PLAIN; LAKE URMIA; LAND-USE; WAVELET; WATER; SIMULATION; QUALITY",NA,"SPRINGER HEIDELBERG","HEIDELBERG","TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY","1866-7511","1866-7538",NA,"ARAB J GEOSCI","Arab. J. Geosci.","JAN",2021,"14","2",NA,NA,"115",NA
FALSE,39,"Ensemble hydrological forecasts for reservoir management of the Shipshaw River catchment using limited data","Many hydropower companies continue to rely on expert judgment to manage the operations of their reservoirs. Decision-support systems, composed of a hydrological forecasting system and a reservoir model, can ensure that reservoir operation objectives are attained more effectively than by relying solely on expert judgment. In this study, a simple ensemble inflow forecasting system coupled with a reservoir model is developed and the proposed model-based operational water management decisions are compared with those based on expert judgment for the Shipshaw River in Quebec, Canada. Given that no natural streamflow records are available for the Shipshaw River, the HEC-HMS hydrological model is calibrated using a regionalization method based on physical similarity. The calibrated hydrological model is fed by ensemble meteorological forecasts that include 20 members, with a 10-day horizon and a 6-hour time step. The proposed decision-support system can help avoid small flooding events while potentially improving energy production by 2 to 60% for this case study. The proposed forecasting system also allows water-resource managers to anticipate events with a greater lead time.","https://doi.org/10.1080/07011784.2020.1834880","10.1080/07011784.2020.1834880","Reig, Estelle; Boucher, Marie-Amelie; Tremblay, Eric","CANADIAN WATER RESOURCES JOURNAL","Hydropower; reservoir management; streamflow forecasts; HEC-HMS; HEC-ResSim; ensemble meteorological forecasts; ungauged catchments; regionalization by physical similarity","CLIMATE-CHANGE; MODEL; REGIONALIZATION; WATER; UNCERTAINTY; TEMPERATURE; PREDICTION; GENERATION; OPERATION; IMPACTS",NA,"TAYLOR & FRANCIS INC","PHILADELPHIA","530 WALNUT STREET, STE 850, PHILADELPHIA, PA 19106 USA","0701-1784","1918-1817",NA,"CAN WATER RESOUR J","Can. Water Resour. J.","OCT 27",2020,"45","4","372","390",NA,NA
TRUE,40,"Hindcast and forecast of daily inundation extents using satellite SAR and altimetry data with rotated empirical orthogonal function analysis: Case study in Tonle Sap Lake Floodplain","The Tonle Sap Lake (TSL) is the largest natural freshwater lake in Southeast Asia and is called the heart of the lower Mekong due to its high aquatic biodiversity and is considered as one of the most productive freshwater ecosystems of the world. Its floodplain eco-system, which is strongly tied to seasonal flood pulse, is extremely important for food security, trade and economy of Cambodia, supporting the livelihoods of about 1.7 million people. On the other hand, flood can also be extremely devastating in the region along the TSL. In recent years, studies have pointed out that rapid growing number of water infrastructures as well as future climate changes may alter the hydrological cycle of the Mekong River Basin (MRB) and are expected to influence the flood pulse of the TSL and surrounding TSL floodplain. Therefore, it is timely to understand historical inundation extent and predict its likely future state. In this study, we proposed a Rotated Empirical Orthogonal Function (REOF) analysis-based daily inundation extent estimation framework, integrating multi-temporal stack of Sentinel-1A Synthetic Aperture Radar (SAR) imagery and Jason-series satellite altimetry data. The framework can generate daily, cloud-free and gap-free inundation extents for any given time depending on the altimetry data provided. A long-term El Nino and Southern Oscillation (ENSO) index-based daily TSL level forecasting method with months of lead time was also proposed to fulfill the framework's forecasting capacity. In this study, the framework was adopted in the TSL floodplain area for hindcast (2003 to 2015) and forecast (January to July 2019) of daily inundation extents. Estimated inundation extents were cross-compared with MODIS-derived and Sentinel-1-derived inundation maps, resulting in up to higher than 90% of Critical Success Index (CSI). The proposed framework has (1) innovative capacity of estimation of future daily areal inundation extents and is (2) a fully remote sensing-based framework which can empower local authorities tasked with water resource management decisions without relying on upstream countries. The framework has potential to be implemented in other major river basins or wetlands (e.g., Amazon River Basin, and Congo River Basin). The implementation on SAR imagery from other satellites with different bands of electromagnetic wave is also possible but requires more investigation.","https://doi.org/10.1016/j.rse.2020.111732","10.1016/j.rse.2020.111732","Chang, Chi-Hung; Lee, Hyongki; Kim, Donghwan; Hwang, Euiho; Hossain, Faisal; Chishtie, Farrukh; Jayasinghe, Susantha; Basnayake, Senaka","REMOTE SENSING OF ENVIRONMENT","Daily inundation extents estimation; Mekong River Basin; Tonle Sap Lake; SAR; Satellite altimetry; EOF analysis; Flood forecast","SEA-LEVEL RISE; VIETNAMESE MEKONG DELTA; CENTRAL CONGO RIVER; CLIMATE-CHANGE; SURFACE-WATER; TIME-SERIES; RADAR ALTIMETRY; FLOODED VEGETATION; GLOBAL WATERPACK; EOF ANALYSIS",NA,"ELSEVIER SCIENCE INC","NEW YORK","STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA","0034-4257","1879-0704",NA,"REMOTE SENS ENVIRON","Remote Sens. Environ.","MAY",2020,"241",NA,NA,NA,"111732",NA
FALSE,41,"Predictability of Seasonal Streamflow Forecasting Based on CSM: Case Studies of Top Three Largest Rivers in China","Accurate seasonal streamflow forecasting is important in reservoir operation, watershed planning, and water resource management, and streamflow forecasting is often based on hydrological models driven by coupled global climate models (CGCMs). To understand streamflow forecasting predictability, this study considered the three largest rivers in China and explored deterministic and probabilistic skill metrics on the monthly scale according to ensemble streamflow hindcasts from the hydrological model Hydrologiska Byrans Vattenbalansavdelning (HBV) driven by multiple climate forcings from the climate system model by the Beijing Climate Center (BCC_CSM1.1m). The effects of initial conditions (ICs) and meteorological forcings (MFs) on skill were investigated using the conventional ensemble streamflow prediction (ESP) and reverse-ESP (revESP). The results revealed the following: (1) Skill declines as lead time increases, and forecasting is generally the most skillful for lead month 1; (2) skill is higher for dry rivers than wet rivers, and higher for dry target months than wet months for the Yellow and Yangtze Rivers, suggesting greater skill in potential drought forecasting than flood forecasting; (3) the relative operating characteristic (ROC) area is greater for abnormal terciles than the near-normal tercile for all three rivers, greater for the above-normal tercile than the below-normal tercile for the Yellow and Yangtze Rivers, but slightly greater for the below-normal tercile than the above-normal tercile for the Xijiang River; and (4) the influence of ICs outweighs that of MFs in dry months, and the period of influence varies from 1 to 3 months; however, the influence of MFs is dominant in wet target months. These findings will help improve the understanding of both the seasonal streamflow forecasting predictability based on coupled climate system/hydrological models and of streamflow forecasting for variable rivers and seasons.","https://doi.org/10.3390/w13020162","10.3390/w13020162","Liu, Lyuliu; Wu, Ying; Zhang, Peiqun; Zhai, Jianqing; Zhang, Li; Xiao, Chan","WATER","Pearl River; predictability; seasonal streamflow forecasting; Yangtze River; Yellow River",NA,NA,"MDPI","BASEL","ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",NA,"2073-4441",NA,"WATER-SUI","Water","JAN",2021,"13","2",NA,NA,"162",NA
FALSE,42,"Web-based data analytics framework for well forecasting and groundwater quality","Groundwater supplies drinking water for over one-third of all Americans. However, with aquifers stressed by overdraft, contamination from land use, and the hydrologic impacts of climate change, identifying reliable sources for new wells is increasingly challenging. Well forecasting is a process in which potential groundwater resources are evaluated for a location of interest. While this process forecasts the depth of each aquifer for a given location, it takes historical groundwater well data from nearby locations into account. Conventionally, well forecasting is done by geological survey professionals by manually analyzing the well data and, that makes the process both time and resource-intensive. This study presents a novel web application that performs well forecasting for any location within the state of Iowa in a matter of seconds utilizing client-side computing instead of expensive professional labor. The web application generates well forecasts by triangulating millions of combinations of historical aquifer depth data of nearby wells stored in a state-level database. The proposed web system also provides water quality information for arsenic, nitrate, and bacteria (total c and fecal coliform) on the same interface with forecasts. The system is open to the public and is aimed to provide a go-to tool for homeowners, well drillers and, authorities to help inform decision-making regarding groundwater well development and water quality monitoring efforts. (C) 2020 Elsevier B.V. All rights reserved.","https://doi.org/10.1016/j.scitotenv.2020.144121","10.1016/j.scitotenv.2020.144121","Sit, Muhammed; Langel, Richard J.; Thompson, Darrin; Cwiertny, David M.; Demir, Ibrahim","SCIENCE OF THE TOTAL ENVIRONMENT","Groundwater wells; Web application; Aquifer depth prediction","FLOOD INFORMATION-SYSTEM; NITRATE CONCENTRATION; DECISION-SUPPORT; MANAGEMENT; DESIGN",NA,"ELSEVIER","AMSTERDAM","RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS","0048-9697","1879-1026",NA,"SCI TOTAL ENVIRON","Sci. Total Environ.","MAR 20",2021,"761",NA,NA,NA,"144121",NA
FALSE,43,"Advancing lake and reservoir water quality management with near-term, iterative ecological forecasting","Near-term, iterative ecological forecasts with quantified uncertainty have great potential for improving lake and reservoir management. For example, if managers received a forecast indicating a high likelihood of impending impairment, they could make decisions today to prevent or mitigate poor water quality in the future. Increasing the number of automated, real-time freshwater forecasts used for management requires integrating interdisciplinary expertise to develop a framework that seamlessly links data, models, and cyberinfrastructure, as well as collaborations with managers to ensure that forecasts are embedded into decision-making workflows. The goal of this study is to advance the implementation of near-term, iterative ecological forecasts for freshwater management. We first provide an overview of FLARE (Forecasting Lake And Reservoir Ecosystems), a forecasting framework we developed and applied to a drinking water reservoir to assist water quality management, as a potential open-source option for interested users. We used FLARE to develop scenario forecasts simulating different water quality interventions to inform manager decision-making. Second, we share lessons learned from our experience developing and running FLARE over 2 years to inform other forecasting projects. We specifically focus on how to develop, implement, and maintain a forecasting system used for active management. Our goal is to break down the barriers to forecasting for freshwater researchers, with the aim of improving lake and reservoir management globally.","https://doi.org/10.1080/20442041.2020.1816421","10.1080/20442041.2020.1816421","Carey, Cayelan C.; Woelmer, Whitney M.; Lofton, Mary E.; Figueiredo, Renato J.; Bookout, Bethany J.; Corrigan, Rachel S.; Daneshmand, Vahid; Hounshell, Alexandria G.; Howard, Dexter W.; Lewis, Abigail S. L.; McClure, Ryan P.; Wander, Heather L.; Ward, Nicole K.; Thomas, R. Quinn","INLAND WATERS","data assimilation; FAIR data principles; FLARE; human-centered design; quantified uncertainty; real-time forecast","HYPOLIMNETIC OXYGENATION; DATA ASSIMILATION; MODEL; OPPORTUNITIES; UNCERTAINTY; CHALLENGES; ENSEMBLE; CARBON",NA,"TAYLOR & FRANCIS LTD","ABINGDON","2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND","2044-2041","2044-205X",NA,"INLAND WATERS","Inland Waters",NA,NA,NA,NA,NA,NA,NA,NA
