Timestamp,Enter the Result Number (column A in spreadsheet) of the abstract you are reviewing.,"Is the study ecosystem an inland waterbody? (e.g., salty lakes, lagoons, swamps, wetlands ok, coastal oceans and estuaries not ok) For studies forecasting runoff or drought/flood risk, there must be some representation of an inland waterbody in the modeling approach.","Is the study presenting a forecast, nowcast, or hindcast?","If the study is a forecast, nowcast, or hindcast, is uncertainty specified?",Is the forecast/hindcast/nowcast near-term?,"If uncertainty is NOT specified, what modeling approach is used?",Notes (optional) - anything you think we NEED to know re: this paper?,"Are the only forecast target variables some combination of streamflow, inflow, or stream or river discharge, water level or flood risk?"
2/24/2022 12:50,42,yes; groundwater,nowcast,yes,yes,,,
2/24/2022 12:51,43,yes; surface water,hindcast,yes,yes,,,
2/24/2022 12:53,550,yes; surface water,forecast,no,yes,,,
2/24/2022 12:56,44,yes; surface water,none of the above,,,,,
2/24/2022 12:57,45,yes; surface water,none of the above,,,,,
2/24/2022 12:57,551,yes; surface water,forecast,yes,yes,,,
2/24/2022 13:04,552,no,forecast,can't tell,yes,,,
2/24/2022 13:05,46,yes; surface water,none of the above,,,,,
2/24/2022 13:06,47,yes; surface water,none of the above,,,,,
2/24/2022 13:09,48,yes; surface water,forecast,yes,yes,,,
2/24/2022 13:10,49,no,forecast,no,no,,,
2/24/2022 13:12,50,yes; surface water,hindcast,yes,yes,,,
2/24/2022 13:14,51,yes; surface water,hindcast,yes,yes,,,
2/24/2022 13:15,52,yes; surface water,none of the above,,,,,
2/24/2022 13:18,53,yes; surface water,hindcast,no,yes,,,
2/24/2022 13:20,54,yes; surface water,hindcast,yes,yes,,,
2/24/2022 13:23,55,yes; surface water,hindcast,no,yes,,,
2/24/2022 13:24,56,yes; surface water,hindcast,yes,yes,,,
2/24/2022 13:27,57,yes; surface water,hindcast,yes,yes,,,
2/24/2022 13:32,58,yes; surface water,forecast,no,yes,,,
2/24/2022 16:45,553,yes; surface water,hindcast,no,yes,,,
2/24/2022 16:50,554,yes; surface water,hindcast,can't tell,yes,,,
2/24/2022 16:53,555,yes; surface water,hindcast,no,yes,,,
2/24/2022 16:55,556,yes; surface water,hindcast,no,yes,,,
2/24/2022 16:57,557,yes; surface water,hindcast,no,yes,,,
2/24/2022 17:02,558,yes; surface water,hindcast,no,yes,,,
2/26/2022 13:15,59,yes; surface water,forecast,no,no,empirical model but not a time series model (e.g. multiple regression),,
2/26/2022 13:17,60,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,
2/26/2022 13:22,61,yes; surface water,forecast,no,yes,other,,
3/1/2022 7:47,384,yes; surface water,forecast,no,no,process-based but not ecosystem simulation (e.g. age-structured population model),This a proposed forecast system.,
3/1/2022 7:53,385,yes; surface water,hindcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,
3/1/2022 7:56,386,yes; surface water,none of the above,,no,time series model (e.g. ARIMA),,
3/1/2022 8:01,387,no,hindcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,
3/1/2022 8:05,388,no,forecast,no,yes,,This is a weather forecast,
3/1/2022 8:08,62,yes; surface water,hindcast,yes,yes,,,
3/1/2022 8:11,63,yes; surface water,forecast,yes,no,,,
3/1/2022 8:16,389,no,,,,,,
3/1/2022 8:16,65,yes; surface water,hindcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,
3/1/2022 8:19,390,yes; surface water,hindcast,no,yes,process-based but not ecosystem simulation (e.g. age-structured population model),,
3/1/2022 8:20,66,yes; surface water,hindcast,yes,yes,,has decision-making component,
3/1/2022 8:20,391,no,,,,,,
3/1/2022 8:22,67,yes; surface water,none of the above,,,,CRITICALLY IMPORTANT we should look at this paper b/c it is not presenting a forecast but it analyzes what forecast horizon is most useful to reservoir mgmt!!!!!,
3/1/2022 8:22,392,no,,,,,,
3/1/2022 8:24,68,yes; surface water,hindcast,yes,yes,,,
3/1/2022 8:26,393,yes; surface water,hindcast,yes,yes,other,Used a model for reservoir demand,
3/1/2022 8:26,69,yes; surface water,none of the above,,,,,
3/1/2022 8:28,70,yes; surface water,forecast,no,yes,numerical ecosystem simulation (e.g. GLM-AED),,
3/1/2022 8:31,71,yes; surface water,hindcast,yes,yes,,,
3/1/2022 8:32,72,yes; surface water,hindcast,yes,yes,,,
3/1/2022 8:35,73,yes; surface water,hindcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,
3/1/2022 8:35,219,yes; surface water,hindcast,yes,yes,numerical ecosystem simulation (e.g. GLM-AED),,
3/1/2022 8:36,74,yes; surface water,hindcast,yes,yes,,,
3/1/2022 8:39,75,yes; surface water,hindcast,no,yes,other,uses both multiple regression and a process-based model,
3/1/2022 8:39,76,yes; surface water,hindcast,yes,yes,,,
3/1/2022 8:40,221,yes; surface water,forecast,no,no,empirical model but not a time series model (e.g. multiple regression),,
3/1/2022 8:40,77,yes; surface water,hindcast,yes,yes,,,
3/1/2022 8:43,220,yes; surface water,none of the above,no,,,,
3/1/2022 8:44,78,yes; surface water,hindcast,no,yes,process-based but not ecosystem simulation (e.g. age-structured population model),,
3/1/2022 8:46,79,yes; surface water,none of the above,,,,,
3/1/2022 9:03,81,yes; surface water,forecast,yes,no,,,
3/1/2022 9:07,82,yes; surface water,none of the above,,,,,
3/1/2022 9:11,83,yes; surface water,hindcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,
3/1/2022 9:16,84,yes; surface water,forecast,no,yes,other,both process-based and machine learning models used,
3/1/2022 9:18,85,yes; surface water,forecast,no,no,process-based but not ecosystem simulation (e.g. age-structured population model),,
3/1/2022 9:19,86,yes; surface water,none of the above,,,,,
3/1/2022 9:20,87,yes; surface water,hindcast,yes,yes,,,
3/1/2022 9:23,88,yes; surface water,forecast,no,yes,process-based but not ecosystem simulation (e.g. age-structured population model),good example for probabilistic presentation of spatial forecasts being uncommon; do scenario-based analysis but don't propagate uncertainty,
3/1/2022 9:25,89,yes; surface water,forecast,yes,no,,,
3/1/2022 9:28,90,yes; surface water,forecast,no,no,process-based but not ecosystem simulation (e.g. age-structured population model),,
3/1/2022 9:30,91,yes; surface water,hindcast,can't tell,yes,,,
3/1/2022 9:32,394,yes; surface water,hindcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,
3/1/2022 9:34,92,yes; surface water,forecast,yes,yes,,,
3/1/2022 9:35,395,yes; groundwater,none of the above,,no,"machine learning, either process-guided or not process-guided (e.g. ANN)",,
3/1/2022 9:35,93,yes; surface water,none of the above,,,,,
3/1/2022 9:35,396,no,,,,,,
3/1/2022 9:36,397,yes; surface water,,,,,Systematic review paper? For reference maybe,
3/1/2022 9:37,94,yes; surface water,hindcast,yes,yes,,,
3/1/2022 9:37,95,yes; surface water,none of the above,,,,,
3/1/2022 9:38,398,yes; surface water,,,,,Overview of river flood forecasting in Canada - interactions between forecasting centers,
3/1/2022 9:40,96,yes; surface water,forecast,no,no,empirical model but not a time series model (e.g. multiple regression),,
3/1/2022 9:41,399,yes; surface water,none of the above,,no,"machine learning, either process-guided or not process-guided (e.g. ANN)",,
3/1/2022 9:43,400,yes; surface water,forecast,no,no,process-based but not ecosystem simulation (e.g. age-structured population model),,
3/1/2022 9:46,401,yes; surface water,forecast,no,yes,process-based but not ecosystem simulation (e.g. age-structured population model),,
3/1/2022 9:46,97,yes; surface water,hindcast,can't tell,yes,,,
3/1/2022 9:47,402,yes; surface water,hindcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,
3/1/2022 9:48,98,yes; surface water,none of the above,,,,,
3/1/2022 9:49,99,yes; surface water,hindcast,yes,yes,,,
3/1/2022 9:50,403,yes; surface water,hindcast,yes,yes,process-based but not ecosystem simulation (e.g. age-structured population model),,
3/1/2022 9:50,100,yes; surface water,hindcast,yes,yes,,,
3/1/2022 9:54,404,yes; surface water,hindcast,no,yes,process-based but not ecosystem simulation (e.g. age-structured population model),,
3/1/2022 9:57,405,yes; surface water,hindcast,no,yes,empirical model but not a time series model (e.g. multiple regression),,
3/1/2022 10:21,559,yes; surface water,hindcast,no,yes,numerical ecosystem simulation (e.g. GLM-AED),,
3/1/2022 10:23,560,no,,,,,,
3/1/2022 10:31,561,no,,,,,,
3/1/2022 10:33,222,yes; surface water,hindcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,
3/1/2022 10:35,224,yes; surface water,hindcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,
3/1/2022 10:38,225,yes; surface water,hindcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,
3/1/2022 10:38,562,yes; surface water,none of the above,no,,empirical model but not a time series model (e.g. multiple regression),,
3/1/2022 10:49,563,yes; surface water,hindcast,no,,process-based but not ecosystem simulation (e.g. age-structured population model),,yes
3/1/2022 10:53,564,yes; surface water,hindcast,no,yes,numerical ecosystem simulation (e.g. GLM-AED),,yes
3/1/2022 10:55,565,no,,,,,,
3/1/2022 11:01,566,yes; surface water,forecast,yes,yes,,UC as model selection uncertainty- see Fig 10,yes
3/1/2022 11:09,567,yes; surface water,forecast,no,yes,time series model (e.g. ARIMA),lake surface area,no
3/1/2022 11:10,568,no,,,,,,
3/1/2022 11:17,569,yes; surface water,hindcast,no,yes,time series model (e.g. ARIMA),,yes
3/1/2022 11:21,570,yes; surface water,forecast,yes,yes,time series model (e.g. ARIMA),fig 5 has CIs. This is crazy! https://jifro.areeo.ac.ir/article_116611_06d8e0cfc7c70cfbfc635e982db18410.pdf,no
3/1/2022 11:28,571,yes; surface water,forecast,no,yes,numerical ecosystem simulation (e.g. GLM-AED),National Water Model,yes
3/1/2022 11:31,572,yes; surface water,forecast,yes,yes,,,yes
3/1/2022 11:32,573,no,,,,,,
3/1/2022 12:45,101,yes; surface water,hindcast,yes,yes,,,yes
3/1/2022 12:47,102,yes; surface water,none of the above,,,,,yes
3/1/2022 12:49,103,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
3/1/2022 12:53,104,yes; surface water,hindcast,no,yes,process-based but not ecosystem simulation (e.g. age-structured population model),,yes
3/1/2022 12:54,105,yes; surface water,none of the above,,,,,yes
3/1/2022 12:59,106,yes; surface water,forecast,yes,yes,,,yes
3/1/2022 13:01,107,yes; surface water,forecast,yes,yes,,,yes
3/1/2022 13:04,108,yes; surface water,none of the above,,,,,yes
3/1/2022 13:09,109,yes; surface water,none of the above,,,,,yes
3/1/2022 13:11,110,yes; surface water,none of the above,,,,,yes
3/1/2022 13:12,111,yes; surface water,hindcast,yes,yes,,,yes
3/1/2022 13:13,112,yes; surface water,hindcast,yes,yes,,,yes
3/1/2022 13:14,113,no,,,,,,
3/1/2022 13:16,114,yes; surface water,none of the above,,,,,yes
3/1/2022 13:18,115,yes; surface water,forecast,yes,no,,,yes
3/1/2022 13:19,116,no,,,,,,
3/1/2022 13:21,117,yes; surface water,hindcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
3/1/2022 13:23,118,yes; surface water,none of the above,,,,,yes
3/1/2022 13:25,119,no,,,,,,
3/1/2022 13:26,120,yes; surface water,none of the above,,,,,no
3/1/2022 13:30,121,yes; surface water,forecast,no,no,numerical ecosystem simulation (e.g. GLM-AED),,yes
3/1/2022 13:32,122,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,no
3/1/2022 13:33,123,yes; surface water,forecast,yes,yes,,,no
3/16/2022 17:30,384,yes; surface water,none of the above,,,,Looks like a modeling study that the plan to implement the model into NERFC forecasts. Could be a good group to check for follow up papers where they're actually forecasting ,yes
3/16/2022 17:37,385,yes; surface water,hindcast,yes,yes,,,yes
3/16/2022 17:39,386,yes; surface water,forecast,yes,yes,,,yes
3/16/2022 17:40,387,yes; surface water,forecast,yes,yes,,,yes
3/16/2022 17:46,388,no,,,,,,
3/16/2022 17:55,389,yes; surface water,forecast,yes,no,,"mainly looking at land use changes 15 years in the future, but does appear to look at discharge too. Uncertainty was only in model validation, not forecasts since only forecasted date is in 2030",yes
3/16/2022 17:57,390,no,,,,,flood risk just using rainfall,
3/16/2022 17:59,391,no,,,,,,
3/16/2022 18:06,393,yes; surface water,hindcast,yes,yes,,,yes
3/16/2022 18:10,396,no,,,,,,
3/16/2022 18:12,397,yes; surface water,none of the above,,,,"Review or river water temp forecasts, could be worth looking at as a ref for this paper ",no
3/16/2022 18:16,399,yes; surface water,hindcast,yes,yes,,,yes
3/16/2022 18:18,400,yes; surface water,forecast,can't tell,no,,,yes
3/16/2022 18:20,401,yes; surface water,forecast,yes,yes,,,yes
3/22/2022 13:53,398,yes; surface water,none of the above,,,,"Worth looking at?? This is a review of the canadian flood forecasts center, kinda similar to our inland water papers ",yes
3/22/2022 13:55,392,yes; surface water,none of the above,,,,,yes
3/22/2022 13:56,394,yes; surface water,forecast,yes,yes,,,yes
3/22/2022 14:02,395,yes; groundwater,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,no
3/22/2022 14:07,402,no,,,,,,
3/22/2022 14:10,403,yes; surface water,hindcast,yes,yes,,,yes
3/29/2022 11:39,404,yes; surface water,forecast,yes,yes,,,yes
3/29/2022 11:43,406,no,,,,,,
3/29/2022 11:45,407,no,,,,,,
3/29/2022 11:46,408,yes; surface water,forecast,yes,yes,,,yes
3/29/2022 11:48,409,yes; surface water,forecast,yes,yes,,,yes
3/29/2022 11:54,410,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
3/29/2022 11:55,411,yes; surface water,forecast,yes,yes,,,no
3/29/2022 11:58,412,yes; surface water,forecast,no,yes,empirical model but not a time series model (e.g. multiple regression),,yes
3/29/2022 12:06,413,yes; surface water,hindcast,yes,yes,,,yes
3/29/2022 12:10,414,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
3/29/2022 12:19,415,yes; surface water,hindcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
3/29/2022 12:20,416,yes; surface water,hindcast,yes,yes,,,no
3/29/2022 12:23,417,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
3/29/2022 12:24,418,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
3/29/2022 12:26,419,yes; surface water,forecast,yes,yes,,,yes
3/30/2022 10:48,405,yes; surface water,forecast,yes,yes,,,yes
3/30/2022 10:52,420,yes; surface water,forecast,yes,yes,,,yes
3/30/2022 10:54,421,yes; surface water,hindcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,no
3/30/2022 10:56,422,no,,,,,,
3/30/2022 10:57,423,no,,,,,,
3/30/2022 10:57,424,no,,,,,,
3/30/2022 11:01,425,yes; surface water,none of the above,,,,,yes
3/30/2022 11:05,426,yes; surface water,hindcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
3/30/2022 12:21,427,yes; surface water,none of the above,,,,,yes
3/30/2022 12:24,428,yes; surface water,hindcast,yes,yes,,,yes
3/30/2022 12:30,430,yes; surface water,none of the above,,,,,yes
3/30/2022 12:33,431,yes; surface water,forecast,yes,yes,,,yes
3/30/2022 12:35,432,yes; surface water,hindcast,yes,yes,,,yes
4/5/2022 17:28,429,yes; surface water,forecast,no,yes,numerical ecosystem simulation (e.g. GLM-AED),,yes
4/5/2022 17:31,433,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
4/5/2022 17:32,434,yes; surface water,forecast,yes,yes,,,yes
4/5/2022 17:36,435,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
4/5/2022 17:37,436,no,,,,,,
4/5/2022 17:40,437,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
4/5/2022 17:42,438,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
4/5/2022 17:43,439,no,,,,,,
4/5/2022 17:51,440,yes; surface water,none of the above,,,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
4/5/2022 17:53,441,yes; surface water,forecast,yes,yes,,,yes
4/5/2022 17:54,442,yes; surface water,hindcast,yes,yes,,,yes
4/5/2022 18:00,443,yes; surface water,none of the above,,,,,yes
4/5/2022 18:03,444,yes; surface water,forecast,yes,yes,,,yes
4/5/2022 18:05,452,yes; surface water,hindcast,yes,yes,,,no
4/5/2022 18:06,454,no,,,,,,
4/5/2022 18:14,455,yes; surface water,none of the above,,,,"I don't think this meets criteria but could maybe use a second review. I think there really just forecasting rainfall, and can't tell where it would tie in water level or discharge; re-reviewed by MEL 24JUN22",
4/5/2022 18:26,456,yes; surface water,hindcast,yes,yes,,,yes
4/5/2022 18:26,457,yes; surface water,forecast,yes,yes,,,yes
4/5/2022 18:30,476,no,,,,,,
4/5/2022 18:32,489,no,,,,,,
4/5/2022 18:33,490,no,,,,,,
4/5/2022 18:34,491,no,,,,,,
4/5/2022 18:35,493,no,,,,,,
4/5/2022 18:36,500,no,,,,,,
4/5/2022 18:36,502,no,,,,,,
4/5/2022 18:37,506,no,,,,,,
4/5/2022 18:38,507,no,,,,,,
4/5/2022 18:39,512,no,,,,,,
4/5/2022 18:40,528,no,,,,,,
4/5/2022 18:42,541,no,,,,,,
4/7/2022 13:23,445,yes; surface water,forecast,yes,yes,,,yes
4/7/2022 13:37,448,yes; surface water,hindcast,yes,yes,,looks like there may be uncertainty in the machine learning approach ,yes
4/7/2022 13:39,449,no,,,,,,
4/7/2022 13:42,450,yes; surface water,forecast,yes,yes,,,yes
4/7/2022 13:44,451,yes; surface water,forecast,yes,yes,,,yes
4/7/2022 13:47,453,yes; surface water,forecast,yes,yes,,,yes
4/7/2022 13:51,458,yes; surface water,none of the above,,,,,yes
4/7/2022 13:52,459,yes; surface water,forecast,yes,yes,,,yes
4/7/2022 13:59,461,yes; surface water,forecast,no,,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
4/7/2022 14:01,462,no,,,,,not forecasting; but cool study it seems looking at how effective forecasts are for management decisions ,
4/7/2022 14:05,464,yes; surface water,none of the above,,,,review paper,yes
4/7/2022 14:07,465,yes; surface water,forecast,yes,yes,,,no
4/7/2022 14:10,470,yes; surface water,none of the above,,,,,no
4/7/2022 14:13,471,yes; surface water,none of the above,,,,,yes
4/7/2022 14:15,472,yes; surface water,forecast,yes,yes,,,yes
4/7/2022 14:16,473,yes; surface water,forecast,yes,yes,,,yes
4/7/2022 14:19,475,yes; surface water,none of the above,,,,,yes
4/7/2022 14:21,477,yes; surface water,hindcast,yes,yes,,,yes
4/7/2022 14:23,481,yes; surface water,none of the above,,,,Review paper; worth looking at probably ,yes
4/7/2022 14:25,492,yes; surface water,forecast,yes,yes,,,yes
4/11/2022 12:51,447,yes; surface water,forecast,yes,no,,,yes
4/11/2022 12:56,460,yes; surface water,forecast,yes,yes,,,yes
4/11/2022 13:00,463,yes; surface water,none of the above,,,,,yes
4/11/2022 13:06,466,yes; surface water,none of the above,no,,,,yes
4/11/2022 13:09,467,yes; surface water,forecast,yes,yes,,,yes
4/11/2022 13:14,468,yes; groundwater,forecast,no,,empirical model but not a time series model (e.g. multiple regression),,no
4/11/2022 13:17,469,yes; surface water,none of the above,,,,overview of forecasting system,yes
4/11/2022 13:28,474,yes; surface water,none of the above,,,,validation not actually forecasting,yes
4/11/2022 13:32,478,yes; surface water,forecast,yes,yes,,,yes
4/11/2022 13:36,479,yes; surface water,forecast,yes,yes,,,yes
4/11/2022 13:38,480,yes; surface water,forecast,yes,yes,,,yes
4/12/2022 17:15,482,yes; surface water,forecast,no,,"time series model (e.g. ARIMA), machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
4/12/2022 17:17,483,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
4/12/2022 17:31,484,yes; surface water,hindcast,no,,other,,yes
4/12/2022 17:32,485,no,,,,,,
4/12/2022 17:36,486,yes; surface water,hindcast,yes,yes,,,yes
4/12/2022 17:39,487,yes; surface water,forecast,no,yes,"time series model (e.g. ARIMA), machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
4/12/2022 17:41,488,yes; surface water,forecast,yes,yes,,,yes
4/12/2022 17:44,494,yes; surface water,forecast,yes,yes,,,yes
4/12/2022 17:46,495,yes; surface water,forecast,no,,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
4/13/2022 8:25,497,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,no
4/13/2022 8:41,498,yes; surface water,forecast,yes,yes,,,yes
4/13/2022 8:45,499,yes; surface water,forecast,no,yes,numerical ecosystem simulation (e.g. GLM-AED),,no
4/13/2022 8:49,501,yes; surface water,none of the above,,,,,no
4/13/2022 8:51,503,yes; surface water,none of the above,,,,,no
4/13/2022 8:53,504,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
4/13/2022 8:56,505,yes; surface water,forecast,yes,yes,,,yes
4/14/2022 15:46,446,yes; groundwater,hindcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
4/14/2022 15:48,496,yes; surface water,none of the above,,,,,no
6/6/2022 6:46,124,yes; surface water,forecast,yes,yes,,,no
6/6/2022 6:47,125,yes; surface water,none of the above,,,numerical ecosystem simulation (e.g. GLM-AED),,no
6/6/2022 6:48,126,yes; surface water,forecast,yes,yes,,,yes
6/6/2022 6:49,127,yes; surface water,forecast,yes,no,,,no
6/6/2022 6:51,128,yes; surface water,forecast,yes,yes,,,yes
6/6/2022 6:52,129,yes; surface water,hindcast,yes,yes,,,yes
6/6/2022 6:54,130,yes; surface water,none of the above,,,"machine learning, either process-guided or not process-guided (e.g. ANN)",,no
6/6/2022 7:00,131,yes; surface water,hindcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,no
6/6/2022 7:01,132,no,,,,,,
6/6/2022 7:02,133,yes; surface water,hindcast,yes,yes,,,no
6/6/2022 7:05,134,yes; surface water,none of the above,,,process-based but not ecosystem simulation (e.g. age-structured population model),,yes
6/6/2022 7:09,135,yes; surface water,nowcast,no,yes,empirical model but not a time series model (e.g. multiple regression),,no
6/6/2022 7:10,136,yes; surface water,forecast,yes,no,,,yes
6/6/2022 7:12,137,yes; surface water,hindcast,yes,yes,,,no
6/6/2022 7:13,138,yes; surface water,none of the above,,,,,no
6/6/2022 7:16,139,yes; surface water,hindcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/6/2022 7:17,140,yes; surface water,none of the above,,,,,no
6/6/2022 7:18,141,yes; surface water,forecast,no,yes,empirical model but not a time series model (e.g. multiple regression),,yes
6/6/2022 7:19,142,no,,,,,,
6/6/2022 7:21,143,yes; surface water,hindcast,no,yes,numerical ecosystem simulation (e.g. GLM-AED),,yes
6/6/2022 7:26,145,yes; surface water,forecast,yes,no,,,yes
6/6/2022 7:30,146,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,no
6/6/2022 7:31,147,no,,,,,,
6/6/2022 7:32,148,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/6/2022 7:35,149,yes; surface water,forecast,yes,no,,,yes
6/6/2022 7:37,150,yes; surface water,forecast,no,yes,empirical model but not a time series model (e.g. multiple regression),,yes
6/6/2022 7:39,151,yes; surface water,nowcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,no
6/6/2022 7:39,152,yes; surface water,none of the above,,,,,yes
6/6/2022 7:42,153,yes; surface water,hindcast,yes,yes,,,yes
6/6/2022 7:43,154,yes; surface water,none of the above,,,,,yes
6/6/2022 7:46,155,yes; surface water,forecast,no,yes,numerical ecosystem simulation (e.g. GLM-AED),,yes
6/6/2022 7:47,156,yes; surface water,hindcast,yes,yes,,focus on decision support,yes
6/6/2022 7:51,157,yes; surface water,none of the above,,,,,yes
6/6/2022 7:52,158,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/6/2022 7:53,159,yes; surface water,hindcast,yes,yes,,,yes
6/6/2022 7:56,160,yes; surface water,hindcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/6/2022 7:56,161,no,,,,,,
6/6/2022 7:58,162,yes; surface water,forecast,no,yes,empirical model but not a time series model (e.g. multiple regression),,no
6/6/2022 7:58,163,no,,,,,,
