Result Number,Article Title,Abstract,DOI,DOI,Author Full Names,Source Title,Author Keywords,Keywords Plus,Affiliations,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Start Page,End Page,Article Number,
198,Climate change forecasting in a mountainous data scarce watershed using CMIP5 models under representative concentration pathways,"Hydrology cycle of river basins and available water resources in arid and semi-arid regions are highly affected by climate changes. In recent years, the increment of temperature due to excessive increased emission of greenhouse gases has led to an abnormality in the climate system of the earth. The main objective of this study is to survey the future climate changes in one of the biggest mountainous watersheds in northeast of Iran (i.e., Kashafrood). In this research, by considering the precipitation and temperature as two important climatic parameters in watersheds, 14 models evolved in the general circulation models (GCMs) of the newest generation in the Coupled Model Intercomparison Project Phase 5 (CMIP5) were used to forecast the future climate changes in the study area. For the historical period of 1992-2005, four evaluation criteria including Nash-Sutcliffe (NS), percent of bias (PBIAS), coefficient of determination (R (2)) and the ratio of the root-mean-square-error to the standard deviation of measured data (RSR) were used to compare the simulated observed data for assessing goodness-of-fit of the models. In the primary results, four climate models namely GFDL-ESM2G, IPSL-CM5A-MR, MIROC-ESM, and NorESM1-M were selected among the abovementioned 14 models due to their more prediction accuracies to the investigated evaluation criteria. Thereafter, climate changes of the future periods (near-century, 2006-2037; mid-century, 2037-2070; and late-century, 2070-2100) were investigated and compared by four representative concentration pathways (RCPs) of new emission scenarios of RCP2.6, RCP4.5, RCP6.0, and RCP8.5. In order to assess the trend of annual and seasonal changes of climatic components, Mann-Kendall non-parametric test (MK) was also employed. The results of Mann-Kendall test revealed that the precipitation has significant variable trends of both positive and negative alterations. Furthermore, the mean, maximum, and minimum temperature values had significant positive trends at 90, 99, and 99.9 % confidence level. On the other hand, in all parts of the Kashafrood Watershed (KW), the average temperature of watershed will be increased up to 0.56-3.3 A degrees C and the mean precipitation will be decreased up to 10.7 % by the end of the twenty-first century comparing to the historical baselines. Also, in seasonal scale, the maximum and minimum precipitations will occur in spring and summer, respectively, and the mean temperature is higher than the historical baseline in all seasons. The maximum and minimum values of the mean temperature will occur in summer and winter, respectively, and the amount of seasonal precipitation in these seasons will be reduced.",https://doi.org/10.1007/s00704-016-1908-5,10.1007/s00704-016-1908-5,"Afshar, A. Aghakhani; Hasanzadeh, Y.; Besalatpour, A. A.; Pourreza-Bilondi, M.",THEORETICAL AND APPLIED CLIMATOLOGY,CMIP5; Temperature; Precipitation; Climate change; RCP scenarios; Trend analysis,PRECIPITATION SIMULATIONS; GREENHOUSE-GAS; TEMPERATURE; PROJECTIONS; SCENARIOS; IMPACTS; TRENDS; EAST,,SPRINGER WIEN,WIEN,"SACHSENPLATZ 4-6, PO BOX 89, A-1201 WIEN, AUSTRIA",0177-798X,1434-4483,,THEOR APPL CLIMATOL,Theor. Appl. Climatol.,JUL,2017,129,1-2,683,699,,
199,GRACE Satellites Enable Long-Lead Forecasts of Mountain Contributions to Streamflow in the Low-Flow Season,"Terrestrial water storage (TWS) in high mountain areas contributes large runoff volumes to nearby lowlands during the low-flow season when streamflow is critical to downstream water supplies. The potential for TWS from GRACE (Gravity Recovery and Climate Experiment) satellites to provide long-lead streamflow forecasting in adjacent lowlands during the low-flow season was assessed using the upper Yellow River as a case study. Two linear models were trained for forecasting monthly streamflow with and without TWS anomaly (TWSA) from 2002 to 2016. Results show that the model based on streamflow and TWSA is superior to the model based on streamflow alone at up to a five-month lead-time. The inclusion of TWSA reduced errors in streamflow forecasts by 25% to 50%, with 3-5-month lead-times, which represents the role of terrestrial hydrologic memory in streamflow changes during the low-flow season. This study underscores the high potential of streamflow forecasting using GRACE data with long lead-times that should improve water management in mountainous water towers and downstream areas.",https://doi.org/10.3390/rs13101993,10.3390/rs13101993,"Liu, Xingcai; Tang, Qiuhong; Hosseini-Moghari, Seyed-Mohammad; Shi, Xiaogang; Lo, Min-Hui; Scanlon, Bridget",REMOTE SENSING,streamflow forecast; terrestrial water storage; GRACE; low-flow season; water tower,SOIL-MOISTURE MEMORY; YELLOW-RIVER BASIN; CLIMATE-CHANGE; VARIABILITY; IMPACTS; REGIME,,MDPI,BASEL,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",,2072-4292,,REMOTE SENS-BASEL,Remote Sens.,MAY,2021,13,10,,,1993,
200,"Deep learning hybrid model with Boruta-Random forest optimiser algorithm for streamflow forecasting with climate mode indices, rainfall, and periodicity","Long-term forecasting of any hydrologic phenomena is essential for strategic environmental planning, hydrologic and other forms of structural design, agriculture, and water resources management. Climate mode indices, utilising machine learning methods, are frequently considered as predictor variables in order to forecast several different hydrological variables. In this study, a feature selection algorithm based on two different deep learning models, i.e., long short-term memory and a gated recurrent unit, is applied to improve the forecasting capability of streamflow water levels at six gauging stations in the Murray Darling Basin of Australia. This paper therefore aggregates the significant antecedent lag memory of climate mode indices, rainfall, and the monthly factor based on the periodicity as the predictor variables to attain significantly accurate stream water level forecasts. This novel method identifies an improved relationship between the stream water level and climate mode indices through the aggregation of the significant lagged datasets capturing the historical features to predict the future streamflow water level. The boruta feature selection algorithm (BRF) was then applied in a two phase process before and after attaining the significant lagged inputs to screen the optimum predictor variables. The merits of the forecast models were evaluated through different performance evaluation criteria. The results show that the accumulated significant lagged inputs based on climate mode indices, along with the rainfall and periodicity factors are seen to provide improved forecasting of the SWL over the non-BRF deep learning approaches where no prior feature selection was applied. The hybrid LSTM method (i.e., BRF-LSTM model) achieved a unique advantage in terms of SWL forecasting, particularly attaining over 98% of the predictive errors lying within a band of +/-0.015 m with relatively low relative errors (RRMSE approximate to 1.30% and RMAE approximate to 0.882%), outperforming all of the benchmark models. It is also found that the periodicity factor has a potential influence on the accuracy of the forecast models for the four monitored study stations. This study concludes that the newly developed hybrid deep learning approaches, coupled with the BRF feature selection, provide improved forecasting performance. The hybrid approach developed in this paper can therefore be used to provide a strong provide predictive response algorithm for the hydrological variables that were influenced by the low-frequency variability of the climate model indices in respect to streamflow water level.",https://doi.org/10.1016/j.jhydrol.2021.126350,10.1016/j.jhydrol.2021.126350,"Ahmed, A. A. Masrur; Deo, Ravinesh C.; Feng, Qi; Ghahramani, Afshin; Raj, Nawin; Yin, Zhenliang; Yang, Linshan",JOURNAL OF HYDROLOGY,Stream water level; Climate indices; Boruta-random forest hybridizer algorithm (BRF); Significant lag memory; Murray Darling Basin; long short-term memory (LSTM),SUPPORT VECTOR MACHINE; NINO SOUTHERN-OSCILLATION; ABSOLUTE ERROR MAE; AUSTRALIAN RAINFALL; SEASONAL RAINFALL; NEURAL-NETWORK; WATER-RESOURCES; REFINED INDEX; DROUGHT; VARIABILITY,,ELSEVIER,AMSTERDAM,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",0022-1694,1879-2707,,J HYDROL,J. Hydrol.,AUG,2021,599,,,,126350,
201,"Small Hydropower Spot Prediction using SWAT and a Diversion Algorithm, Case Study: Upper Citarum Basin","Small-Scale Hydropower (SHP) had been important electric energy power source in Indonesia. Indonesia is vast countries, consists of more than 17.000 islands. It has large fresh water resource about 3 m of rainfall and 2 m of runoff. Much of its topography is mountainous, remote but abundant with potential energy. Millions of people do not have sufficient access to electricity, some live in the remote places. Recently, SHP development was encouraged for energy supply of the places. Development of global hydrology data provides opportunity to predict distribution of hydropower potential. In this paper, we demonstrate run-of-river type SHP spot prediction tool using SWAT and a river diversion algorithm. The use of Soil and Water Assessment Tool (SWAT) with input of CFSR (Climate Forecast System Re-analysis) of 10 years period had been implemented to predict spatially distributed flow cumulative distribution function (CDF). A simple algorithm to maximize potential head of a location by a river diversion expressing head race and penstock had been applied. Firm flow and power of the SHP were estimated from the CDF and the algorithm. The tool applied to Upper Citarum River Basin and three out of four existing hydropower locations had been well predicted. The result implies that this tool is able to support acceleration of SHP development at earlier phase.",https://doi.org/10.1063/1.5011625,10.1063/1.5011625,"Kardhana, Hadi; Arya, Doni Khaira; Hadihardaja, Iwan K.; Widyaningtyas; Riawan, Edi; Lubis, Atika",3RD INTERNATIONAL CONFERENCE ON CONSTRUCTION AND BUILDING ENGINEERING (ICONBUILD 2017),,,,AMER INST PHYSICS,MELVILLE,"2 HUNTINGTON QUADRANGLE, STE 1NO1, MELVILLE, NY 11747-4501 USA",0094-243X,,978-0-7354-1591-1,AIP CONF PROC,,,2017,1903,,,,100015,
202,Impacts of Future Climate Projections on the Water Balance of the Gediz Basin in Turkey,"Located along the western coast of Turkey, the Gediz Basin counts on agriculture as its most important economic activity. Over the last few decades, the basin has been facing water-related problems, such as water scarcity and competing use of water. However, an investigation of possible future water demands and droughts is expected to be helpful for water managers dealing with the future water planning and management of the region. As such, this study aims at evaluating the future water balances occurring in the major reservoir of the basin during the 21s t century. For this purpose, four future water supply projections are generated using a hydroclimate modeling framework. This framework includes the coupling of a regional climate model, the weather research and forecasting (WRF) model, and a fully physically-based hydrologic model, the watershed environmental hydrology (WEHY) model, under two IPCC representative concentration pathway scenarios (RCP4.5 and RCP8.5) of a CMIP5 global climate model, HadGEM2-ES. A dynamic water balance model is, then, developed to carry out reservoir simulations and is used to operate the reservoir with the projected future flowrates in order to identify water deficits or surpluses under the projected irrigation water demands for the years between 2015 and 2100.",https://doi.org/,,"Gorguner, Merve; Kavvas, M. Levent","WORLD ENVIRONMENTAL AND WATER RESOURCES CONGRESS 2018: GROUNDWATER, SUSTAINABILITY, AND HYDRO-CLIMATE/CLIMATE CHANGE",,,,AMER SOC CIVIL ENGINEERS,NEW YORK,"UNITED ENGINEERING CENTER, 345 E 47TH ST, NEW YORK, NY 10017-2398 USA",,,978-0-7844-8141-7,,,,2018,,,246,250,,
203,Use of the SWAT code in the ground forecast of rivers of the Tocantins-Araguaia hydrographic bowl,"The Tocantins-Araguaia watershed is characterized by its singularity in the occurrence of floods and landslides due to its high flow rates. Thus, the objective was to apply the Soil and Water Assessment Tool (SWAT) simulator to promote the flow forecast of rivers in the Tocantins-Araguaia hydrographic basin and create scenarios for assessing the role of flow rate dynamics due to high precipitation and deforestation. The model presented acceptable values in calibration and validation and subsequently, scenarios from 0 to 100% of land use change were simulated. The results show that with 10% loss of vegetation in the basin during periods of high rainfall, surface runoff and erosion increase, causing sedimentation and flooding problems. Thus, the model enabled a comprehensive understanding of the system to develop the best management and decision-making policy.",https://doi.org/,,"Deus, Ricardo; Deus, Simonny Simoes; de Jesus Neves, Ramiro Joaquim",NOVOS CADERNOS NAEA,Modeling; Flood; Deforestation; Environmental Management,RUNOFF; SENSITIVITY; CATCHMENT; MODEL; SOIL; TOOL,,UNIV FEDERAL PARA,BELEM,"AV GOVERNADOR JOSE MALCHER, 1192, NAZARE, BELEM, 66055260, BRAZIL",1516-6481,2179-7536,,NOVOS CAD NAEA,Novos Cad. NAEA,MAY-AUG,2020,23,2,179,200,,
204,Sensitivity of streamflow simulation in the Delaware River Basin to forecasted land-cover change for 2030 and 2060,"In order to simulate the potential effect of forecasted land-cover change on streamflow and water availability, there has to be confidence that the hydrologic model used is sensitive to small changes in land cover (<10%) and that this land-cover change exceeds the inherent uncertainty in forecasted conditions. To investigate this, a 26-year streamflow record was simulated for 33 basins (54-928 km(2)) in the Delaware River Basin using three dates of land cover: the 2011 National Land-Cover Dataset (Homer, Fry, & Barnes, ), 2030 land-cover conditions representing median values from 101 equally-likely forecasts, and 2060 land-cover conditions corresponding to the same iterations used to represent 2030. Streamflow was simulated using a process-based hydrologic model that includes both pervious and impervious methods as parameterized by three land-cover-based hydrologic response units (HRUs)-forested, agricultural, and developed land. Small, but significant differences in streamflow magnitude, variability, and seasonality were seen among the three time periods-2011, 2030, and 2060. Temporal differences were discernible from the range of conditions simulated with 101 equally likely forecasts for 2030. Development was co-located with the most frequent landscape components, as characterized by topographic wetness index, resulting in a change in hydrology for each HRU, highlighting that knowing the location of disturbance is key to understanding potential streamflow changes. These results show that streamflow simulation using regional calibration that incorporates land-cover-based HRUs can be sensitive to relatively small changes in land-cover and that temporal trends resulting from land-cover change can be isolated in order to evaluate other changes that might affect water resources.",https://doi.org/10.1002/hyp.13315,10.1002/hyp.13315,"Williamson, Tanja N.; Claggett, Peter",HYDROLOGICAL PROCESSES,environmental impacts; surface-water hydrology; water-resource management,CLIMATE; TRENDS; MODEL,,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0885-6087,1099-1085,,HYDROL PROCESS,Hydrol. Process.,JAN 1,2019,33,1,115,129,,
205,Water quality prediction of salton sea using machine learning and big data techniques,"Water accounts for about 70% of the earth's surface and is one of the most important sources of life. The degradation of the Salton Sea's water quality due to excessive usage of fertilisers and pesticides in agriculture has posed serious risks to biodiversity, human health, and the local economy. As a result, it is necessary to establish effective and reliable methodologies for assessing water quality and predicting future trends. This work investigates regression and machine learning models such as linear regression, random forest, support vector machine (SVM) and long short-term memory (LSTM) to predict the salinity level of Salton Sea and forecast future trend. The proposed work studies the Salton Sea water quality and predict certain chemical or physical characteristics such as salinity, pH, and dissolved oxygen. It also finds the correlation between water indexes and environmental indexes surrounding the Salton Sea. The findings of this study can assist policymakers in determining the salinity of water and devising policies to minimise salt levels in order to manage freshwater for long-term development. While evaluating experiments, it has been found that the machine learning methodology is more flexible and accurate than traditional statistical methods, and that it aids in achieving better results.",https://doi.org/10.1080/03067319.2021.1963713,10.1080/03067319.2021.1963713,"Chawla, Priyanka; Cao, Xiyu; Fu, Yichen; Hu, Ching-min; Wang, Meng; Wang, Shenquan; Gao, Jerry Zeyu",INTERNATIONAL JOURNAL OF ENVIRONMENTAL ANALYTICAL CHEMISTRY,Machine learning; water quality; SVM; LSTM,,,TAYLOR & FRANCIS LTD,ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND",0306-7319,1029-0397,,INT J ENVIRON AN CH,Int. J. Environ. Anal. Chem.,,,,,,,,
206,RESEARCH ON REGIONAL EXTREME RAINFALL FORECASTING FOR WATER RESOURCE MANAGEMENT AND WARNING OPERATIONS,"The regional extreme weatherforecast system with early warning and decision-making functionsdeveloped in this paper aims to use air-space data(satellite, ground observation, GIS, and hydrological information) as well as numerical weather forecast models and hydrological modelsin order to realize accurate rainfall forecasting.By fusing ground multi-source data, regional forecast data and reanalysis data, high-resolution assimilation system can be run with coupled ground-sky-space information. According to the regional characteristics, this study develops an intelligent human-computer interaction system based on assimilation modelfor meteorological and hydrological applicationsduringextreme weather events. In addition, an advanced radiativetransfer model with accurate calculation of hydrometric states andbackground error covariance with flow-dependent is incorporated in this research. This system has the ability of effectively simulating and forecasting storms and floods, including all the lake and reservoir features in the selected study region.Based on the real-time analyses, early warning and decision-making guidance willbe providedfor relevant userswith intuitive, accurate and quantitative products for heavy rainfall and floods.",https://doi.org/,,"He, Jieying; Zhu, Xinguo",2020 XXXIIIRD GENERAL ASSEMBLY AND SCIENTIFIC SYMPOSIUM OF THE INTERNATIONAL UNION OF RADIO SCIENCE,,,,IEEE,NEW YORK,"345 E 47TH ST, NEW YORK, NY 10017 USA",,,978-9-4639-6800-3,,,,2020,,,,,,
207,Use of bias correction techniques to improve seasonal forecasts for reservoirs - A case-study in north western Mediterranean,"In this paper, we have compared different bias correction methodologies to assess whether they could be advantageous for improving the performance of a seasonal prediction model for volume anomalies in the Boadella reservoir (northwestern Mediterranean). The bias correction adjustments have been applied on precipitation and temperature from the European Centre for Middle-range Weather Forecasting System 4 (S4). We have used three bias correction strategies: two linear (mean bias correction, BC, and linear regression, LR) and one non-linear (Model Output Statistics analogs, MOS-analog). The results have been compared with climatology and persistence. The volume-anomaly model is a previously computed Multiple Linear Regression that ingests precipitation, temperature and in-flow anomaly data to simulate monthly volume anomalies. The potential utility for end-users has been assessed using economic value curve areas. We have studied the S4 hindcast period 1981-2010 for each month of the year and up to seven months ahead considering an ensemble of 15 members. We have shown that the MOS-analog and LR bias corrections can improve the original S4. The application to volume anomalies points towards the possibility to introduce bias correction methods as a tool to improve water resource seasonal forecasts in an end-user context of climate services. Particularly, the MOS-analog approach gives generally better results than the other approaches in late autumn and early winter. (c) 2017 Elsevier B.V. All rights reserved.",https://doi.org/10.1016/j.scitotenv.2017.08.010,10.1016/j.scitotenv.2017.08.010,"Marcos, Raul; Llasat, Ma Carmen; Quintana-Segui, Pere; Turco, Marco",SCIENCE OF THE TOTAL ENVIRONMENT,bias correction; seasonal forecast; water management; climate services; ECMWF System 4; reservoir,CLIMATE PREDICTION; WATER-RESOURCES; PRECIPITATION; PREDICTABILITY; EXTREMES; DROUGHT; INDEXES; CALIBRATION; SCARCITY; MANAGERS,,ELSEVIER,AMSTERDAM,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",0048-9697,1879-1026,,SCI TOTAL ENVIRON,Sci. Total Environ.,JAN 1,2018,610,,64,74,,
208,Leveraging multi-model season-ahead streamflow forecasts to trigger advanced flood preparedness in Peru,"Disaster planning has historically allocated minimal effort and finances toward advanced preparedness; however, evidence supports reduced vulnerability to flood events, saving lives and money, through appropriate early actions. Among other requirements, effective early action systems necessitate the availability of high-quality forecasts to inform decision making. In this study, we evaluate the ability of statistical and physically based season-ahead prediction models to appropriately trigger flood early preparedness actions based on a 75% or greater probability of surpassing the 80th percentile of historical seasonal streamflow for the floodprone Maranon River and Piura River in Peru. The statistical prediction model, developed in this work, leverages the asymmetric relationship between seasonal streamflow and the ENSO phenomenon. Additionally, a multi-model (least-squares combination) is also evaluated against current operational practices. The statistical prediction demonstrates superior performance compared to the physically based model for the Maranon River by correctly triggering preparedness actions in three out of four historical occasions, while both the statistical and multi-model predictions capture all four historical events when the required threshold excee-dance probability is reduced to 50 %, with only one false alarm. For the Piura River, the statistical model proves superior to all other approaches, correctly triggering 28% more often in the hindcast period. Continued efforts should focus on applying this season-ahead prediction framework to additional flood-prone locations where early actions may be warranted and current forecast capacity is limited.",https://doi.org/10.5194/nhess-21-2215-2021,10.5194/nhess-21-2215-2021,"Keating, Colin; Lee, Donghoon; Bazo, Juan; Block, Paul",NATURAL HAZARDS AND EARTH SYSTEM SCIENCES,,EL-NINO; CLIMATE FORECASTS; PREDICTION; RAINFALL; IMPROVEMENTS; PATTERNS,,COPERNICUS GESELLSCHAFT MBH,GOTTINGEN,"BAHNHOFSALLEE 1E, GOTTINGEN, 37081, GERMANY",1561-8633,1684-9981,,NAT HAZARD EARTH SYS,Nat. Hazards Earth Syst. Sci.,JUL 23,2021,21,7,2215,2231,,
209,Improving efficiencies of flood forecasting during lead times: an operational method and its application in the Baiyunshan Reservoir,"Accurate and reliable flood forecasting plays an important role in flood control, reservoir operation, and water resources management. Conventional hydrological parameter calibration is based on an objective function without consideration for forecast performance during lead-time periods. A novel objective function, i.e., minimizing the sum of the squared errors between forecasted and observed streamflow during multiple lead times, is proposed to calibrate hydrological parameters for improved forecasting. China's Baiyunshan Reservoir basin was selected as a case study, and the Xinanjiang model was used. The proposed method provided better results for peak flows, in terms of the value and occurrence time, than the conventional method. Specifically, the qualified rate of peak flow for 4-, 5-, and 6-h lead times in the proposed method were 69.2%, 53.8%, and 38.5% in calibration, and 60%, 40%, and 20% in validation, respectively. This compares favorably with the corresponding values for the conventional method, which were 53.8%, 15.4%, and 7.7% in calibration, and 20%, 20%, and 0% in validation, respectively. Uncertainty analysis revealed that the proposed method caused less parameter uncertainty than the conventional method. Therefore, the proposed method is effective in improving the performance during multiple lead times for flood mitigation.",https://doi.org/10.2166/nh.2018.051,10.2166/nh.2018.051,"Liu, Pan; Zhang, Xiaojing; Zhao, Yan; Deng, Chao; Li, Zejun; Xiong, Mengsi",HYDROLOGY RESEARCH,flood forecasting; lead time; objective function; Xinanjiang model,RAINFALL-RUNOFF MODEL; PARAMETER UNCERTAINTY ANALYSIS; LIKELIHOOD FUNCTIONS; XINANJIANG MODEL; CALIBRATION; PERFORMANCE; INFLOW; PRECIPITATION; SIMULATION; RULES,,IWA PUBLISHING,LONDON,"ALLIANCE HOUSE, 12 CAXTON ST, LONDON SW1H0QS, ENGLAND",0029-1277,2224-7955,,HYDROL RES,Hydrol. Res.,APR,2019,50,2,709,724,,
210,"A Comparative Analysis of Hidden Markov Model, Hybrid Support Vector Machines, and Hybrid Artificial Neural Fuzzy Inference System in Reservoir Inflow Forecasting (Case Study: The King Fand Dam, Saudi Arabia)","The precise prediction of the streamflow of reservoirs is of considerable importance for many activities relating to water resource management, such as reservoir operation and flood and drought control and protection. This study aimed to develop and evaluate the applicability of a hidden Markov model (HMM) and two hybrid models, i.e., the support vector machine-genetic algorithm (SVM-GA) and artificial neural fuzzy inference system-genetic algorithm (ANFIS-GA), for reservoir inflow forecasting at the King Fand dam, Saudi Arabia. The results obtained by the HMM model were compared with those for the two hybrid models ANFIS-GA and SVM-GA, and with those for individual SVM and ANFIS models based on performance evaluation indicators and visual inspection. The results of the comparison revealed that the ANFIS-GA model and ANFIS model provided superior results for forecasting monthly inflow with satisfactory accuracy in both training (R-2 = 0.924, 0.857) and testing (R-2 = 0.842, 0.810) models. The performance evaluation results for the developed models showed that the GA-induced improvement in the ANFIS and SVR forecasts was matched by an approximately 25% decrease in RMSE and around a 13% increase in Nash-Sutcliffe efficiency. The promising accuracy of the proposed models demonstrates their potential for applications in monthly inflow forecasting in the present semiarid region.",https://doi.org/10.3390/w13091236,10.3390/w13091236,"Alquraish, Mohammed M.; Abuhasel, Khaled A.; Alqahtani, Abdulrahman S.; Khadr, Mosaad",WATER,reservoir inflow forecasting; artificial neural fuzzy inference system; support vector machine; genetic algorithm,FLOOD-CONTROL; RIVER-BASIN; STREAMFLOW; OPERATION; ANFIS; ARIMA; PREDICTION; DISCHARGE; NETWORKS; DROUGHT,,MDPI,BASEL,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",,2073-4441,,WATER-SUI,Water,MAY,2021,13,9,,,1236,
211,Advances in forecasting harmful algal blooms using machine learning models: A case study with Planktothrix rubescens in Lake Geneva,"The development of anthropic activities during the 20th century increased the nutrient fluxes in freshwater ecosystems, leading to the eutrophication phenomenon that most often promotes harmful algal blooms (HABs). Recent years have witnessed the regular and massive development of some filamentous algae or cyanobacteria in Lake Geneva. Consequently, important blooms could result in detrimental impacts on economic issues and human health. In this study, we tried to lay the foundation of an HAB forecast model to help scientists and local stakeholders with the present and future management of this peri-alpine lake. Our forecast strategy was based on pairing two machine learning models with a long-term database built over the past 34 years. We created HAB groups via a K-means model. Then, we introduced different lag times in the input of a random forest (RF) model, using a sliding window. Finally, we used a high-frequency dataset to compare the natural mechanisms with numerical interaction using individual conditional expectation plots. We demonstrate that some HAB events can be forecasted over a year scale. The information contained in the concentration data of the cyanobacteria was synthesized in the form of four intensity groups that directly depend on the P. rubescens concentration. The categorical transformation of these data allowed us to obtain a forecast with correlation coefficients that stayed above a threshold of 0.5 until one year for the counting cells and two years for the biovolume data. Moreover, we found that the RF model predicted the best P. rubescens abundance for water temperatures around 14 degrees C. This result is consistent with the biological processes of the toxic cyano-bacterium. In this study, we found that the coupling between K-means and RF models could help in forecasting the development of the bloom-forming P. rubescens in Lake Geneva. This methodology could create a numerical decision support tool, which should be a significant advantage for lake managers.",https://doi.org/10.1016/j.hal.2020.101906,10.1016/j.hal.2020.101906,"Derot, Jonathan; Yajima, Hiroshi; Jacquet, Stephan",HARMFUL ALGAE,Water quality management; Planktothrix rubescens; Peri-alpine lakes; Forecast; Random forest; Individual conditional expectation plots,CHLOROPHYLL-A; FRESH-WATER; CYANOBACTERIAL TOXINS; MANAGEMENT; HEALTH; FISH; PERFORMANCE; QUALITY; IMPACT; GROWTH,,ELSEVIER,AMSTERDAM,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",1568-9883,1878-1470,,HARMFUL ALGAE,Harmful Algae,NOV,2020,99,,,,101906,
212,Long-term streamflow forecasting for the Cascade Reservoir System of Han River using SWAT with CFS output,"Due to the large uncertainties of long-term precipitation prediction and reservoir operation, it is difficult to forecast long-term streamflow for large basins with cascade reservoirs. In this paper, a framework coupling the original Climate Forecasting System (CFS) precipitation with the Soil and Water Assessment Tool (SWAT) was proposed to forecast the nine-month streamflow for the Cascade Reservoir System of Han River (CRSHR) including Shiquan, Ankang and Danjiangkou reservoirs. First, CFS precipitation was tested against the observation and post-processed through two machine learning algorithms, random forest and support vector regression. Results showed the correlation coefficients between the monthly areal CFS precipitation (post-processed) and observation were 0.91-0.96, confirming that CFS precipitation post-processing using machine learning was not affected by the extended forecast period. Additionally, two precipitation spatio-temporal distribution models, original CFS and similar historical observation, were adopted to disaggregate the processed monthly areal CFS precipitation to daily subbasin-scale precipitation. Based on the reservoir restoring flow, the regional SWAT was calibrated for CRSHR. The Nash-Sutcliffe efficiencies for three reservoirs flow simulation were 0.86, 0.88 and 0.84, respectively, meeting the accuracy requirement. The experimental forecast showed that for three reservoirs, long-term streamflow forecast with similar historical observed distribution was more accurate than that with original CFS.",https://doi.org/10.2166/nh.2018.114,10.2166/nh.2018.114,"Liu, Tian; Chen, Yuanfang; Li, Binquan; Hu, Yiming; Qiu, Hui; Liang, Zhongmin",HYDROLOGY RESEARCH,Cascade Reservoir System of Han River; CFS post-processing; long-term monthly streamflow forecasting; machine learning algorithms; SWAT,,,IWA PUBLISHING,LONDON,"ALLIANCE HOUSE, 12 CAXTON ST, LONDON SW1H0QS, ENGLAND",0029-1277,2224-7955,,HYDROL RES,Hydrol. Res.,APR,2019,50,2,655,671,,
213,ASSESSING THE CLIMATE FORECAST SYSTEM REANALYSIS WEATHER DATA DRIVEN HYDROLOGICAL MODEL FOR THE YANGTZE RIVER BASIN IN CHINA,"It is a challenge to adequately represent meteorological data for river basin modelling in data scarce regions. Hydrological models may benefit from alternative climate data sources such as the Climate Forecast System Reanalysis (CFSR) weather data. A proposed method was applied to evaluate the applicability of CFSR data in the Soil and Water Assessment Tool (SWAT) eco-hydrological model for the 1.8 x 10(6) km(2) Yangtze River Basin (YRB) in China The CFSR data were first validated by ground-based meteorological station (GMS) data to confirm sufficient accuracy to predict the hydrology for the YRB. It was determined that the CFSR simulation was able to generate acceptable accuracy with calibrated parameters of GMS-based model. The R-2 and ENS of the monthly results from both GMS- and CFSR-SWAT simulations were > 0.70 in both calibration and validation periods. The monthly streamflow hydrograph from GMS and CFSR simulations showed two different patterns: distinct differences in baseflow and less discrepancy for the peak flows, such as the patterns at Cuntan and Yichang gauge stations, whereas the results are characterized as close matches the peaks and the recession periods at Hankou and Datong gauge stations. The CFSR simulation generated better results in the middle and lower reaches than in the upper reach of the basin. To a certain extent, the CFSR provides an alternative to quickly build hydrological model in data scarce area for large basins.",https://doi.org/10.15666/aeer/1702_36153632,10.15666/aeer/1702_36153632,"Lu, J. Z.; Zhang, L.; Cui, X. L.; Zhang, P.; Chen, X. L.; Sauvage, S.; Sanchez-Perez, J. M.",APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,SWAT model; data scarce area; model calibration; meteorological forcing data; large-scale watershed,SWAT MODEL; PRECIPITATION PRODUCTS; WATER-QUALITY; VARIABILITY; CLASSIFICATION; SENSITIVITY; IMPACTS; CFSR; SOIL; TOOL,,CORVINUS UNIV BUDAPEST,BUDAPEST,"VILLANYI UT 29/43, BUDAPEST, H-1118, HUNGARY",1589-1623,1785-0037,,APPL ECOL ENV RES,Appl. Ecol. Environ. Res.,,2019,17,2,3615,3632,,
