"result_num","freshwater","forecast","uncertainty","nearterm","model_approach","hydrological"
40,"yes; surface water","forecast","no","yes","empirical model but not a time series model (e.g. multiple regression)","yes"
41,"yes; surface water","hindcast","yes","yes","numerical","yes"
42,"yes; groundwater","nowcast","yes","yes","empirical","yes"
43,"yes; surface water","hindcast","yes","yes","numerical","no"
44,"yes; surface water","none of the above",NA,NA,NA,"yes"
45,"yes; surface water","none of the above",NA,NA,NA,"no"
46,"yes; surface water","none of the above",NA,NA,NA,"yes"
47,"yes; surface water","none of the above",NA,NA,NA,"yes"
48,"yes; surface water","forecast","yes","yes","machine","yes"
49,"no","forecast","no","no",NA,NA
50,"yes; surface water","hindcast","yes","yes","empirical","yes"
51,"yes; surface water","hindcast","yes","yes","empirical","yes"
52,"yes; surface water","none of the above",NA,NA,NA,"yes"
53,"yes; surface water","hindcast","no","yes","numerical ecosystem simulation (e.g. GLM-AED)","no"
54,"yes; surface water","hindcast","yes","yes","numerical","yes"
55,"yes; surface water","hindcast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
56,"yes; surface water","hindcast","yes","yes","numerical","yes"
57,"yes; surface water","hindcast","yes","yes","machine","yes"
58,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
59,"yes; surface water","forecast","no","no","empirical model but not a time series model (e.g. multiple regression)","no"
60,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
61,"yes; surface water","forecast","no","yes","other","yes"
62,"yes; surface water","hindcast","yes","yes","numerical","yes"
63,"yes; surface water","forecast","yes","no","numerical","no"
64,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
65,"yes; surface water","hindcast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","no"
66,"yes; surface water","none of the above","yes","yes",NA,"yes"
67,"yes; surface water","none of the above",NA,NA,NA,"yes"
68,"yes; surface water","hindcast","yes","yes","empirical","no"
69,"yes; surface water","none of the above",NA,NA,NA,"yes"
70,"yes; surface water","forecast","no","yes","numerical ecosystem simulation (e.g. GLM-AED)","no"
71,"yes; surface water","hindcast","yes","yes","numerical","yes"
72,"yes; surface water","hindcast","yes","yes","numerical","yes"
73,"yes; surface water","hindcast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
74,"yes; surface water","hindcast","yes","yes","numerical","yes"
75,"yes; surface water","hindcast","no","yes","other","yes"
76,"yes; surface water","hindcast","yes","yes","numerical","no"
77,"yes; surface water","hindcast","yes","yes","numerical","yes"
78,"yes; surface water","hindcast","no","yes","process-based but not ecosystem simulation (e.g. age-structured population model)","yes"
79,"yes; surface water","none of the above",NA,NA,NA,"yes"
80,"yes; surface water","forecast","no","yes","time series model (e.g. ARIMA)","yes"
81,"yes; surface water","forecast","yes","no","numerical","no"
82,"yes; surface water","none of the above",NA,NA,NA,"yes"
83,"yes; surface water","hindcast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
84,"yes; surface water","forecast","no","yes","other","no"
85,"yes; surface water","forecast","no","no","process-based but not ecosystem simulation (e.g. age-structured population model)","no"
86,"yes; surface water","none of the above",NA,NA,NA,"no"
87,"yes; surface water","hindcast","yes","yes","numerical","yes"
88,"yes; surface water","forecast","yes","yes","process-based but not ecosystem simulation (e.g. age-structured population model)","no"
89,"yes; surface water","forecast","yes","no","numerical","yes"
90,"yes; surface water","forecast","no","no","process-based but not ecosystem simulation (e.g. age-structured population model)","yes"
91,"yes; surface water","none of the above",NA,"yes",NA,"yes"
93,"yes; surface water","none of the above",NA,NA,NA,"yes"
94,"yes; surface water","hindcast","yes","yes","numerical","yes"
95,"yes; surface water","none of the above",NA,NA,NA,"no"
96,"yes; surface water","forecast","no","no","empirical model but not a time series model (e.g. multiple regression)","no"
97,"yes; surface water","hindcast","yes","yes","numerical","yes"
98,"yes; surface water","none of the above",NA,NA,NA,"yes"
99,"yes; surface water","hindcast","yes","yes","empirical","yes"
100,"yes; surface water","hindcast","yes","yes","numerical","yes"
101,"yes; surface water","hindcast","yes","yes","process-based","yes"
102,"yes; surface water","none of the above",NA,NA,NA,"yes"
103,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
104,"yes; surface water","hindcast","no","yes","process-based but not ecosystem simulation (e.g. age-structured population model)","yes"
105,"yes; surface water","none of the above",NA,NA,NA,"yes"
107,"yes; surface water","forecast","yes","yes","ARIMA","yes"
108,"yes; surface water","none of the above",NA,NA,NA,"yes"
109,"yes; surface water","none of the above",NA,NA,NA,"yes"
110,"yes; surface water","none of the above",NA,NA,NA,"yes"
112,"yes; surface water","hindcast","yes","yes","machine","yes"
113,"no",NA,NA,NA,NA,NA
114,"yes; surface water","none of the above",NA,NA,NA,"yes"
115,"yes; surface water","forecast","yes","no","numerical","yes"
117,"yes; surface water","hindcast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
118,"yes; surface water","none of the above",NA,NA,NA,"yes"
119,"no",NA,NA,NA,NA,NA
120,"yes; surface water","none of the above",NA,NA,NA,"no"
121,"yes; surface water","forecast","no","no","numerical ecosystem simulation (e.g. GLM-AED)","yes"
122,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","no"
123,"yes; surface water","forecast","yes","yes","ARIMA","yes"
124,"yes; surface water","forecast","no","yes","machine","no"
125,"yes; surface water","none of the above",NA,NA,"numerical ecosystem simulation (e.g. GLM-AED)","no"
126,"yes; surface water","forecast","yes","yes","numerical","yes"
127,"yes; surface water","forecast","yes","no","empirical","no"
128,"yes; surface water","forecast","yes","yes","process-based","yes"
129,"yes; surface water","hindcast","yes","yes","machine","yes"
130,"yes; surface water","none of the above",NA,NA,"machine learning, either process-guided or not process-guided (e.g. ANN)","no"
131,"yes; surface water","hindcast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","no"
133,"yes; surface water","hindcast","yes","yes","numerical","no"
134,"yes; surface water","none of the above",NA,NA,"process-based but not ecosystem simulation (e.g. age-structured population model)","yes"
135,"yes; surface water","nowcast","no","yes","empirical model but not a time series model (e.g. multiple regression)","no"
136,"yes; surface water","forecast","yes","no","numerical","yes"
137,"yes; surface water","hindcast","yes","yes","numerical","no"
138,"yes; surface water","none of the above",NA,NA,NA,"no"
139,"yes; surface water","hindcast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
140,"yes; surface water","none of the above",NA,NA,NA,"no"
141,"yes; surface water","forecast","no","yes","empirical model but not a time series model (e.g. multiple regression)","yes"
143,"yes; surface water","hindcast","no","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
144,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","no"
145,"yes; surface water","forecast","yes","no","empirical","yes"
146,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","no"
147,"no",NA,NA,NA,NA,NA
148,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
149,"yes; surface water","forecast","yes","no","numerical","yes"
150,"yes; surface water","forecast","no","yes","empirical model but not a time series model (e.g. multiple regression)","yes"
151,"yes; surface water","nowcast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","no"
152,"yes; surface water","none of the above",NA,NA,NA,"yes"
153,"yes; surface water","hindcast","yes","yes","machine","yes"
154,"yes; surface water","none of the above",NA,NA,NA,"yes"
155,"yes; surface water","forecast","no","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
156,"yes; surface water","hindcast","yes","yes","numerical, empirical","yes"
157,"yes; surface water","none of the above",NA,NA,NA,"yes"
158,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
159,"yes; surface water","hindcast","yes","yes","machine","yes"
160,"yes; surface water","hindcast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
161,"no",NA,NA,NA,NA,NA
162,"yes; surface water","forecast","no","yes","empirical model but not a time series model (e.g. multiple regression)","no"
164,"yes; surface water","hindcast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","no"
165,"yes; surface water","forecast","yes","no","empirical","no"
166,"yes; surface water","hindcast","yes","yes","process-based, empirical","yes"
167,"no",NA,NA,NA,NA,NA
168,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
169,"yes; groundwater","forecast","no","no","numerical ecosystem simulation (e.g. GLM-AED)","no"
172,"yes; surface water","hindcast","yes","yes","numerical","yes"
173,"yes; surface water","hindcast","yes","yes","ARIMA, process-based, empirical","yes"
174,"yes; surface water","hindcast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
175,"yes; surface water","hindcast","yes","yes","ARIMA","yes"
176,"yes; surface water","none of the above",NA,NA,NA,"no"
177,"yes; surface water","forecast","yes","yes","empirical","yes"
178,"yes; surface water","forecast","no","yes","empirical model but not a time series model (e.g. multiple regression)","yes"
179,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
180,"no",NA,NA,NA,NA,NA
181,"yes; groundwater","forecast","no","no","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
182,"yes; surface water","hindcast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
183,"yes; groundwater","hindcast","yes","yes","numerical","yes"
184,"yes; surface water","forecast","no","yes","time series model (e.g. ARIMA)","yes"
185,"yes; surface water","forecast","yes","yes","process-based, empirical","yes"
186,"yes; surface water","none of the above",NA,NA,NA,"no"
187,"yes; surface water","forecast","no","yes","process-based but not ecosystem simulation (e.g. age-structured population model)","yes"
188,"yes; surface water","hindcast","yes","yes","numerical","yes"
189,"yes; surface water","none of the above",NA,NA,NA,"yes"
190,"yes; surface water","none of the above",NA,NA,NA,"yes"
191,"yes; surface water","none of the above",NA,NA,NA,NA
193,"yes; surface water","hindcast","no","yes","numerical ecosystem simulation (e.g. GLM-AED)","no"
194,"yes; surface water","none of the above",NA,NA,NA,"no"
195,"yes; surface water","forecast","yes","yes","empirical, machine","yes"
196,"yes; surface water","none of the above",NA,NA,NA,"yes"
197,"no",NA,NA,NA,NA,NA
199,"yes; surface water","forecast","yes","yes","ARIMA","yes"
200,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
201,"yes; surface water","nowcast","no","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
202,"yes; surface water","forecast","yes","no","numerical","yes"
203,"yes; surface water","forecast","yes","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
204,"yes; surface water","forecast","yes","no","numerical","yes"
205,"yes; surface water","forecast","no","yes","time series model (e.g. ARIMA), machine learning, either process-guided or not process-guided (e.g. ANN)","no"
206,"yes; surface water","none of the above",NA,NA,NA,"yes"
207,"yes; surface water","forecast","yes","yes","numerical, empirical","yes"
208,"yes; surface water","forecast","yes","yes","empirical, numerical","yes"
209,"yes; surface water","forecast","yes","yes","numerical","yes"
210,"yes; surface water","none of the above",NA,NA,NA,"yes"
211,"yes; surface water","hindcast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","no"
212,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
213,"yes; surface water","none of the above",NA,NA,NA,"yes"
214,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
215,"no",NA,NA,NA,NA,NA
216,"yes; surface water","none of the above",NA,NA,NA,"yes"
217,"yes; surface water","none of the above",NA,NA,NA,"yes"
219,"yes; surface water","hindcast","yes","yes","numerical","yes"
220,"yes; surface water","none of the above","no",NA,NA,"no"
221,"yes; surface water","forecast","no","no","empirical model but not a time series model (e.g. multiple regression)","yes"
222,"yes; surface water","hindcast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","no"
223,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
224,"yes; surface water","hindcast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
225,"yes; surface water","forecast","yes","yes","machine","yes"
226,"yes; surface water","none of the above",NA,NA,NA,"no"
227,"yes; surface water","none of the above",NA,NA,NA,"no"
228,"yes; groundwater","none of the above",NA,NA,NA,"no"
229,"yes; surface water","forecast","yes","yes","machine","yes"
230,"yes; surface water","forecast","yes","no","numerical","yes"
231,"yes; surface water","none of the above",NA,NA,NA,"yes"
232,"yes; surface water","forecast","yes","yes","empirical","yes"
233,"yes; surface water","forecast","yes","yes","empirical","yes"
235,"yes; surface water","forecast","yes","yes","numerical","yes"
236,"yes; groundwater","none of the above",NA,NA,NA,"no"
237,"yes; surface water","forecast","no","yes","time series model (e.g. ARIMA); machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
238,"yes; surface water","forecast","yes","no","empirical","no"
239,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","no"
240,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
241,"yes; surface water","forecast","yes","no","empirical, machine","no"
242,"yes; surface water","none of the above",NA,NA,NA,"yes"
244,"yes; surface water","forecast","no","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
245,"yes; surface water","forecast","no","yes","numerical ecosystem simulation (e.g. GLM-AED), empirical model but not a time series model (e.g. multiple regression)","yes"
246,"yes; surface water","forecast","no","no","numerical ecosystem simulation (e.g. GLM-AED)","yes"
247,"yes; surface water","none of the above",NA,NA,NA,"yes"
248,"yes; surface water","none of the above",NA,NA,NA,"yes"
249,"yes; surface water","forecast","no","yes","process-based but not ecosystem simulation (e.g. age-structured population model)","no"
250,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","no"
251,"yes; surface water","none of the above",NA,NA,NA,"yes"
252,"no",NA,NA,NA,NA,NA
253,"yes; groundwater","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
254,"yes; surface water","none of the above",NA,NA,NA,"yes"
255,"yes; surface water","none of the above",NA,NA,NA,"yes"
257,"yes; surface water","forecast","yes","yes","numerical, machine","yes"
258,"yes; surface water","none of the above",NA,NA,NA,"yes"
259,"yes; surface water","forecast","yes","yes","machine","yes"
260,"yes; surface water","forecast","no","no","numerical ecosystem simulation (e.g. GLM-AED)","no"
261,"yes; surface water","none of the above",NA,NA,NA,"yes"
262,"yes; surface water","forecast","yes","yes","numerical","yes"
263,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
264,"yes; surface water","none of the above",NA,NA,NA,"yes"
265,"yes; surface water","none of the above",NA,NA,NA,"no"
266,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","no"
267,"yes; surface water","hindcast","yes","yes","empirical, process-based","yes"
268,"yes; surface water","none of the above",NA,NA,NA,"yes"
269,"yes; surface water","forecast","no","yes","time series model (e.g. ARIMA), machine learning, either process-guided or not process-guided (e.g. ANN), process-based but not ecosystem simulation (e.g. age-structured population model)","yes"
270,"yes; groundwater","forecast","no","no","process-based but not ecosystem simulation (e.g. age-structured population model)","yes"
272,"yes; groundwater","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
273,"yes; surface water","nowcast","no","yes","empirical model but not a time series model (e.g. multiple regression), machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
275,"yes; surface water","none of the above",NA,NA,NA,"yes"
277,"yes; surface water","none of the above",NA,NA,"process-based","yes"
278,"yes; surface water","none of the above",NA,NA,NA,"no"
279,"yes; surface water","hindcast","yes","yes","numerical, ARIMA","yes"
281,"yes; surface water","none of the above",NA,NA,NA,"no"
282,"yes; surface water","none of the above",NA,NA,NA,"yes"
283,"yes; surface water","forecast","yes","yes","process-based, numerical","yes"
284,"yes; surface water","none of the above",NA,NA,NA,"yes"
285,"yes; surface water","forecast","yes","yes","numerical","yes"
286,"no",NA,NA,NA,NA,NA
287,"yes; surface water","forecast","yes","yes","empirical, machine","yes"
288,"yes; surface water","none of the above",NA,NA,NA,"yes"
289,"yes; surface water","forecast","yes","yes","numerical","yes"
290,"yes; surface water","forecast","yes","no","numerical","yes"
291,"yes; surface water","forecast","yes","yes","machine","yes"
293,"yes; surface water","none of the above",NA,NA,NA,"yes"
294,"yes; surface water","none of the above",NA,NA,NA,"yes"
295,"yes; surface water","forecast","yes","no","process-based","no"
296,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
297,"yes; surface water","none of the above",NA,NA,NA,"yes"
298,"yes; surface water","forecast","no","yes","empirical model but not a time series model (e.g. multiple regression), machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
299,"yes; surface water","none of the above",NA,NA,NA,"yes"
300,"yes; surface water","forecast","yes","yes","machine, empirical","yes"
301,"yes; surface water","nowcast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
302,"yes; surface water","forecast","yes","yes","process-based, numerical","yes"
303,"yes; groundwater","forecast","no","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
305,"yes; surface water","none of the above",NA,NA,NA,"yes"
307,"yes; surface water","hindcast","yes","yes","numerical","yes"
308,"yes; surface water","forecast","yes","yes","numerical","yes"
309,"yes; surface water","none of the above",NA,NA,NA,"yes"
310,"yes; surface water","forecast","no","yes","numerical ecosystem simulation (e.g. GLM-AED)","no"
311,"no",NA,NA,NA,NA,NA
312,"yes; groundwater","nowcast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","no"
313,"yes; groundwater","forecast","yes","yes","numerical","yes"
314,"no",NA,NA,NA,NA,NA
315,"yes; surface water","none of the above",NA,NA,NA,"yes"
316,"yes; surface water","hindcast","yes","yes","process-based","yes"
317,"yes; surface water","none of the above",NA,NA,NA,"no"
318,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
319,"yes; surface water","forecast","yes","no","numerical","no"
322,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
324,"yes; surface water","forecast","yes","yes","ARIMA","yes"
325,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
326,"yes; surface water","forecast","yes","yes","machine","no"
328,"yes; surface water","none of the above",NA,NA,NA,"yes"
329,"yes; surface water","forecast","yes","yes","numerical","yes"
330,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
331,"yes; surface water","none of the above",NA,NA,NA,"yes"
333,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","no"
334,"yes; surface water","none of the above",NA,NA,NA,"no"
335,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","no"
336,"yes; surface water","forecast","no","yes","numerical ecosystem simulation (e.g. GLM-AED), process-based but not ecosystem simulation (e.g. age-structured population model)","yes"
337,"yes; surface water","hindcast","yes","yes","numerical","yes"
338,"yes; surface water","forecast","yes","yes","machine","no"
339,"yes; surface water","forecast","yes","yes","numerical","yes"
340,"yes; surface water","hindcast","yes","yes","machine","yes"
341,"yes; groundwater","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
343,"yes; surface water","forecast","can't tell","yes",NA,"yes"
344,"yes; surface water","none of the above",NA,NA,NA,"yes"
345,"yes; surface water","forecast","no","yes","empirical model but not a time series model (e.g. multiple regression)","yes"
347,"no",NA,NA,NA,NA,NA
348,"yes; surface water","forecast","yes","yes","process-based","yes"
349,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
350,"yes; surface water","forecast","yes","yes","numerical","yes"
351,"yes; surface water","forecast","no","yes","empirical model but not a time series model (e.g. multiple regression)","yes"
352,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
353,"yes; surface water","hindcast","yes","yes","ARIMA","yes"
354,"yes; surface water","none of the above",NA,NA,NA,"no"
355,"yes; surface water","none of the above",NA,NA,NA,"yes"
357,"yes; surface water","forecast","yes","yes","empirical, numerical","yes"
358,"yes; surface water","forecast","yes","yes","empirical","yes"
360,"yes; surface water","hindcast","yes","yes","process-based","yes"
362,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","no"
363,"no",NA,NA,NA,NA,NA
365,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
366,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
368,"yes; surface water","none of the above",NA,NA,NA,"no"
369,"yes; surface water","forecast","no","yes","numerical ecosystem simulation (e.g. GLM-AED)","no"
370,"yes; surface water","forecast","no","yes","time series model (e.g. ARIMA), empirical model but not a time series model (e.g. multiple regression)","no"
371,"yes; surface water","none of the above",NA,NA,NA,"yes"
372,"yes; groundwater","forecast","no","yes","empirical model but not a time series model (e.g. multiple regression)","no"
373,"yes; surface water","none of the above",NA,NA,NA,"yes"
374,"yes; surface water","forecast","yes","yes","empirical","no"
375,"yes; groundwater","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
377,"yes; surface water","none of the above",NA,NA,NA,"yes"
378,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
379,"yes; surface water","forecast","yes","no","empirical","no"
381,"yes; surface water","forecast","yes","yes","process-based","yes"
382,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
383,"yes; surface water","forecast","no","yes","numerical ecosystem simulation (e.g. GLM-AED), empirical model but not a time series model (e.g. multiple regression)","yes"
384,"yes; surface water","forecast","no","no","process-based but not ecosystem simulation (e.g. age-structured population model)","yes"
385,"yes; surface water","hindcast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
386,"yes; surface water","none of the above",NA,"no","time series model (e.g. ARIMA)","yes"
387,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
389,"yes; surface water","forecast","yes","no","numerical ecosystem simulation (e.g. GLM-AED)","yes"
390,"yes; surface water","hindcast","no","yes","process-based but not ecosystem simulation (e.g. age-structured population model)","yes"
392,"yes; surface water","none of the above",NA,NA,NA,"yes"
393,"yes; surface water","hindcast","yes","yes","other","yes"
395,"yes; groundwater","none of the above",NA,"no","machine learning, either process-guided or not process-guided (e.g. ANN)","no"
397,"yes; surface water",NA,NA,NA,NA,"no"
398,"yes; surface water","none of the above",NA,NA,NA,"yes"
399,"yes; surface water","none of the above",NA,"no","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
400,"yes; surface water","forecast","no","no","process-based but not ecosystem simulation (e.g. age-structured population model)","yes"
401,"yes; surface water","forecast","no","yes","process-based but not ecosystem simulation (e.g. age-structured population model)","yes"
403,"yes; surface water","hindcast","yes","yes","process-based but not ecosystem simulation (e.g. age-structured population model)","yes"
404,"yes; surface water","hindcast","no","yes","process-based but not ecosystem simulation (e.g. age-structured population model)","yes"
405,"yes; surface water","forecast","no","yes","empirical model but not a time series model (e.g. multiple regression), machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
408,"yes; surface water","forecast","yes","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
409,"yes; surface water","forecast","yes","yes","process-based but not ecosystem simulation (e.g. age-structured population model), time series model (e.g. ARIMA), empirical model but not a time series model (e.g. multiple regression), machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
410,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
411,"yes; surface water","forecast","yes","yes","numerical ecosystem simulation (e.g. GLM-AED)","no"
412,"yes; surface water","forecast","yes","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
413,"yes; surface water","forecast","yes","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
414,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
415,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
416,"yes; surface water","forecast","yes","yes","numerical ecosystem simulation (e.g. GLM-AED), process-based but not ecosystem simulation (e.g. age-structured population model)","no"
417,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
418,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
419,"yes; surface water","forecast","yes","yes","numerical ecosystem simulation (e.g. GLM-AED), process-based but not ecosystem simulation (e.g. age-structured population model)","yes"
420,"yes; surface water","none of the above",NA,NA,NA,"yes"
421,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","no"
426,"yes; surface water","forecast","yes","yes","empirical model but not a time series model (e.g. multiple regression)","yes"
427,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
